240119_11_05
 start training 
Baseline model copied 
_update_baseline : Evaluating baseline model on baseline dataset (epoch = 0) 
bl_vals = [45.  0. 45. ... 45. 45. 45.] ,means = 43.89690017700195 
Epoch 0 (batch = 38): Loss: -248.452 L: 21.702, 0min2sec 
Epoch 0 (batch = 39): Loss: -245.754 L: 21.539, 0min1sec 
Epoch 0 (batch = 40): Loss: -243.984 L: 21.374, 0min2sec 
Epoch 0 (batch = 41): Loss: -241.866 L: 21.209, 0min2sec 
Epoch 0 (batch = 42): Loss: -240.119 L: 21.081, 0min2sec 
Epoch 0 (batch = 43): Loss: -238.535 L: 20.930, 0min1sec 
Epoch 0 (batch = 44): Loss: -237.832 L: 20.816, 0min1sec 
Epoch 0 (batch = 45): Loss: -237.643 L: 20.710, 0min2sec 
Epoch 0 (batch = 46): Loss: -236.227 L: 20.570, 0min2sec 
Epoch 0 (batch = 47): Loss: -233.952 L: 20.425, 0min1sec 
Epoch 0 (batch = 48): Loss: -232.345 L: 20.307, 0min2sec 
Epoch 0 (batch = 49): Loss: -230.419 L: 20.169, 0min1sec 
Evaluating candidate model on baseline dataset (callback epoch = 0) 
Epoch 0 candidate mean 12.534700393676758, baseline mean 43.89690017700195 
Update baseline
Baseline model copied 
_update_baseline : Evaluating baseline model on baseline dataset (epoch = 0) 
bl_vals = [13.  3.  2. ...  4. 45.  8.] ,means = 12.048999786376953 
Epoch 1 (batch = 0): Loss: -114.526 L: 13.570, 0min8sec 
Epoch 1 (batch = 1): Loss: -118.409 L: 13.387, 0min1sec 
Epoch 1 (batch = 2): Loss: -130.886 L: 13.693, 0min1sec 
Epoch 1 (batch = 3): Loss: -138.672 L: 13.688, 0min2sec 
Epoch 1 (batch = 4): Loss: -143.923 L: 13.747, 0min2sec 
Epoch 1 (batch = 5): Loss: -141.527 L: 13.514, 0min1sec 
Epoch 1 (batch = 6): Loss: -137.393 L: 13.410, 0min1sec 
Epoch 1 (batch = 7): Loss: -131.850 L: 13.322, 0min2sec 
Epoch 1 (batch = 8): Loss: -129.143 L: 13.339, 0min2sec 
Epoch 1 (batch = 9): Loss: -130.701 L: 13.326, 0min1sec 
Epoch 1 (batch = 10): Loss: -129.688 L: 13.310, 0min1sec 
Epoch 1 (batch = 11): Loss: -129.875 L: 13.312, 0min2sec 
Epoch 1 (batch = 12): Loss: -132.606 L: 13.403, 0min2sec 
Epoch 1 (batch = 13): Loss: -131.360 L: 13.359, 0min2sec 
Epoch 1 (batch = 14): Loss: -132.890 L: 13.351, 0min1sec 
Epoch 1 (batch = 15): Loss: -130.386 L: 13.279, 0min2sec 
Epoch 1 (batch = 16): Loss: -130.223 L: 13.273, 0min1sec 
Epoch 1 (batch = 17): Loss: -127.934 L: 13.179, 0min1sec 
Epoch 1 (batch = 18): Loss: -125.373 L: 13.116, 0min2sec 
Epoch 1 (batch = 19): Loss: -125.322 L: 13.085, 0min2sec 
Epoch 1 (batch = 20): Loss: -123.978 L: 13.001, 0min2sec 
Epoch 1 (batch = 21): Loss: -117.934 L: 12.961, 0min2sec 
Epoch 1 (batch = 22): Loss: -113.889 L: 12.933, 0min2sec 
Epoch 1 (batch = 23): Loss: -108.843 L: 12.860, 0min1sec 
Epoch 1 (batch = 24): Loss: -108.292 L: 12.831, 0min1sec 
Epoch 1 (batch = 25): Loss: -107.189 L: 12.800, 0min2sec 
Epoch 1 (batch = 26): Loss: -106.396 L: 12.736, 0min1sec 
Epoch 1 (batch = 27): Loss: -102.760 L: 12.683, 0min2sec 
Epoch 1 (batch = 28): Loss: -101.231 L: 12.648, 0min2sec 
Epoch 1 (batch = 29): Loss: -98.232 L: 12.614, 0min1sec 
Epoch 1 (batch = 30): Loss: -97.479 L: 12.580, 0min1sec 
Epoch 1 (batch = 31): Loss: -97.160 L: 12.553, 0min1sec 
Epoch 1 (batch = 32): Loss: -95.174 L: 12.492, 0min2sec 
Epoch 1 (batch = 33): Loss: -89.911 L: 12.455, 0min2sec 
Epoch 1 (batch = 34): Loss: -88.530 L: 12.406, 0min2sec 
Epoch 1 (batch = 35): Loss: -87.917 L: 12.383, 0min2sec 
Epoch 1 (batch = 36): Loss: -86.294 L: 12.321, 0min2sec 
Epoch 1 (batch = 37): Loss: -84.617 L: 12.278, 0min2sec 
Epoch 1 (batch = 38): Loss: -82.818 L: 12.216, 0min1sec 
Epoch 1 (batch = 39): Loss: -82.234 L: 12.177, 0min1sec 
Epoch 1 (batch = 40): Loss: -81.183 L: 12.115, 0min1sec 
Epoch 1 (batch = 41): Loss: -80.236 L: 12.047, 0min1sec 
Epoch 1 (batch = 42): Loss: -79.301 L: 11.993, 0min1sec 
Epoch 1 (batch = 43): Loss: -78.787 L: 11.956, 0min1sec 
Epoch 1 (batch = 44): Loss: -78.232 L: 11.914, 0min1sec 
Epoch 1 (batch = 45): Loss: -76.889 L: 11.868, 0min1sec 
Epoch 1 (batch = 46): Loss: -76.053 L: 11.830, 0min1sec 
Epoch 1 (batch = 47): Loss: -74.889 L: 11.795, 0min2sec 
Epoch 1 (batch = 48): Loss: -73.461 L: 11.760, 0min1sec 
Epoch 1 (batch = 49): Loss: -72.612 L: 11.708, 0min1sec 
Evaluating candidate model on baseline dataset (callback epoch = 1) 
Epoch 1 candidate mean 9.170700073242188, baseline mean 12.048999786376953 
Update baseline
Baseline model copied 
_update_baseline : Evaluating baseline model on baseline dataset (epoch = 1) 
bl_vals = [ 5.  6.  6. ...  5.  7. 10.] ,means = 9.86139965057373 
Epoch 2 (batch = 0): Loss: -66.034 L: 9.883, 0min8sec 
Epoch 2 (batch = 1): Loss: -53.806 L: 9.828, 0min2sec 
Epoch 2 (batch = 2): Loss: -29.870 L: 9.638, 0min2sec 
Epoch 2 (batch = 3): Loss: -29.499 L: 9.574, 0min2sec 
Epoch 2 (batch = 4): Loss: -26.618 L: 9.519, 0min1sec 
Epoch 2 (batch = 5): Loss: -27.110 L: 9.380, 0min1sec 
Epoch 2 (batch = 6): Loss: -27.540 L: 9.346, 0min1sec 
Epoch 2 (batch = 7): Loss: -31.935 L: 9.394, 0min1sec 
Epoch 2 (batch = 8): Loss: -32.555 L: 9.341, 0min1sec 
Epoch 2 (batch = 9): Loss: -32.363 L: 9.273, 0min1sec 
Epoch 2 (batch = 10): Loss: -31.963 L: 9.218, 0min1sec 
Epoch 2 (batch = 11): Loss: -30.843 L: 9.208, 0min1sec 
Epoch 2 (batch = 12): Loss: -30.723 L: 9.183, 0min1sec 
Epoch 2 (batch = 13): Loss: -30.568 L: 9.117, 0min1sec 
Epoch 2 (batch = 14): Loss: -27.101 L: 9.104, 0min1sec 
Epoch 2 (batch = 15): Loss: -27.275 L: 9.069, 0min1sec 
Epoch 2 (batch = 16): Loss: -26.938 L: 8.978, 0min1sec 
Epoch 2 (batch = 17): Loss: -27.032 L: 8.917, 0min1sec 
Epoch 2 (batch = 18): Loss: -27.301 L: 8.929, 0min1sec 
Epoch 2 (batch = 19): Loss: -27.382 L: 8.922, 0min0sec 
Epoch 2 (batch = 20): Loss: -27.150 L: 8.868, 0min1sec 
Epoch 2 (batch = 21): Loss: -26.748 L: 8.822, 0min2sec 
Epoch 2 (batch = 22): Loss: -26.399 L: 8.789, 0min1sec 
Epoch 2 (batch = 23): Loss: -26.800 L: 8.791, 0min1sec 
Epoch 2 (batch = 24): Loss: -25.512 L: 8.793, 0min2sec 
Epoch 2 (batch = 25): Loss: -24.857 L: 8.756, 0min1sec 
Epoch 2 (batch = 26): Loss: -23.089 L: 8.741, 0min2sec 
Epoch 2 (batch = 27): Loss: -22.074 L: 8.698, 0min2sec 
Epoch 2 (batch = 28): Loss: -22.251 L: 8.672, 0min1sec 
Epoch 2 (batch = 29): Loss: -22.264 L: 8.642, 0min1sec 
Epoch 2 (batch = 30): Loss: -22.132 L: 8.608, 0min1sec 
Epoch 2 (batch = 31): Loss: -19.217 L: 8.586, 0min1sec 
Epoch 2 (batch = 32): Loss: -18.302 L: 8.582, 0min1sec 
Epoch 2 (batch = 33): Loss: -18.486 L: 8.566, 0min1sec 
Epoch 2 (batch = 34): Loss: -17.222 L: 8.548, 0min1sec 
Epoch 2 (batch = 35): Loss: -17.261 L: 8.526, 0min1sec 
Epoch 2 (batch = 36): Loss: -17.456 L: 8.512, 0min0sec 
Epoch 2 (batch = 37): Loss: -17.365 L: 8.490, 0min1sec 
Epoch 2 (batch = 38): Loss: -17.309 L: 8.466, 0min1sec 
Epoch 2 (batch = 39): Loss: -16.749 L: 8.435, 0min1sec 
Epoch 2 (batch = 40): Loss: -16.731 L: 8.416, 0min1sec 
Epoch 2 (batch = 41): Loss: -16.784 L: 8.390, 0min1sec 
Epoch 2 (batch = 42): Loss: -16.669 L: 8.370, 0min1sec 
Epoch 2 (batch = 43): Loss: -16.527 L: 8.345, 0min1sec 
Epoch 2 (batch = 44): Loss: -16.478 L: 8.340, 0min1sec 
Epoch 2 (batch = 45): Loss: -16.296 L: 8.323, 0min1sec 
Epoch 2 (batch = 46): Loss: -16.235 L: 8.295, 0min0sec 
Epoch 2 (batch = 47): Loss: -16.222 L: 8.285, 0min1sec 
Epoch 2 (batch = 48): Loss: -15.878 L: 8.271, 0min1sec 
Epoch 2 (batch = 49): Loss: -16.018 L: 8.261, 0min1sec 
Evaluating candidate model on baseline dataset (callback epoch = 2) 
Epoch 2 candidate mean 8.496600151062012, baseline mean 9.86139965057373 
Update baseline
Baseline model copied 
_update_baseline : Evaluating baseline model on baseline dataset (epoch = 2) 
bl_vals = [3. 7. 7. ... 7. 4. 7.] ,means = 7.346499919891357 
Epoch 3 (batch = 0): Loss: -5.111 L: 7.820, 0min7sec 
Epoch 3 (batch = 1): Loss: -8.559 L: 7.426, 0min0sec 
Epoch 3 (batch = 2): Loss: -9.702 L: 7.328, 0min1sec 
Epoch 3 (batch = 3): Loss: -10.748 L: 7.359, 0min1sec 
Epoch 3 (batch = 4): Loss: -10.706 L: 7.330, 0min0sec 
Epoch 3 (batch = 5): Loss: -11.437 L: 7.286, 0min1sec 
Epoch 3 (batch = 6): Loss: -9.707 L: 7.193, 0min1sec 
Epoch 3 (batch = 7): Loss: -9.671 L: 7.132, 0min0sec 
Epoch 3 (batch = 8): Loss: -9.913 L: 7.115, 0min0sec 
Epoch 3 (batch = 9): Loss: -10.243 L: 7.108, 0min0sec 
Epoch 3 (batch = 10): Loss: -10.178 L: 7.114, 0min1sec 
Epoch 3 (batch = 11): Loss: -9.479 L: 7.117, 0min1sec 
Epoch 3 (batch = 12): Loss: -9.785 L: 7.139, 0min0sec 
Epoch 3 (batch = 13): Loss: -9.994 L: 7.170, 0min1sec 
Epoch 3 (batch = 14): Loss: -9.981 L: 7.143, 0min1sec 
Epoch 3 (batch = 15): Loss: -8.552 L: 7.109, 0min1sec 
Epoch 3 (batch = 16): Loss: -8.540 L: 7.091, 0min0sec 
Epoch 3 (batch = 17): Loss: -8.577 L: 7.070, 0min0sec 
Epoch 3 (batch = 18): Loss: -8.777 L: 7.061, 0min1sec 
Epoch 3 (batch = 19): Loss: -8.071 L: 7.053, 0min1sec 
Epoch 3 (batch = 20): Loss: -7.972 L: 7.044, 0min1sec 
Epoch 3 (batch = 21): Loss: -7.812 L: 7.009, 0min0sec 
Epoch 3 (batch = 22): Loss: -7.801 L: 6.993, 0min0sec 
Epoch 3 (batch = 23): Loss: -7.689 L: 6.964, 0min0sec 
Epoch 3 (batch = 24): Loss: -7.817 L: 6.943, 0min0sec 
Epoch 3 (batch = 25): Loss: -7.886 L: 6.931, 0min0sec 
Epoch 3 (batch = 26): Loss: -7.823 L: 6.909, 0min0sec 
Epoch 3 (batch = 27): Loss: -7.792 L: 6.900, 0min0sec 
Epoch 3 (batch = 28): Loss: -7.768 L: 6.877, 0min1sec 
Epoch 3 (batch = 29): Loss: -7.343 L: 6.851, 0min1sec 
Epoch 3 (batch = 30): Loss: -7.301 L: 6.843, 0min0sec 
Epoch 3 (batch = 31): Loss: -7.322 L: 6.836, 0min0sec 
Epoch 3 (batch = 32): Loss: -7.352 L: 6.836, 0min0sec 
Epoch 3 (batch = 33): Loss: -7.220 L: 6.809, 0min0sec 
Epoch 3 (batch = 34): Loss: -7.135 L: 6.788, 0min0sec 
Epoch 3 (batch = 35): Loss: -7.085 L: 6.782, 0min0sec 
Epoch 3 (batch = 36): Loss: -7.075 L: 6.781, 0min0sec 
Epoch 3 (batch = 37): Loss: -6.959 L: 6.757, 0min0sec 
Epoch 3 (batch = 38): Loss: -6.843 L: 6.747, 0min0sec 
Epoch 3 (batch = 39): Loss: -6.736 L: 6.730, 0min0sec 
Epoch 3 (batch = 40): Loss: -6.659 L: 6.723, 0min0sec 
Epoch 3 (batch = 41): Loss: -6.601 L: 6.709, 0min0sec 
Epoch 3 (batch = 42): Loss: -6.550 L: 6.706, 0min0sec 
Epoch 3 (batch = 43): Loss: -6.497 L: 6.694, 0min0sec 
Epoch 3 (batch = 44): Loss: -6.456 L: 6.683, 0min0sec 
Epoch 3 (batch = 45): Loss: -6.388 L: 6.668, 0min0sec 
Epoch 3 (batch = 46): Loss: -6.307 L: 6.656, 0min0sec 
Epoch 3 (batch = 47): Loss: -6.210 L: 6.645, 0min0sec 
Epoch 3 (batch = 48): Loss: -6.152 L: 6.625, 0min0sec 
Epoch 3 (batch = 49): Loss: -6.075 L: 6.609, 0min0sec 
Evaluating candidate model on baseline dataset (callback epoch = 3) 
Epoch 3 candidate mean 5.652699947357178, baseline mean 7.346499919891357 
Update baseline
Baseline model copied 
_update_baseline : Evaluating baseline model on baseline dataset (epoch = 3) 
bl_vals = [ 6.  7.  6. ... 10.  5. 11.] ,means = 5.505899906158447 
Epoch 4 (batch = 0): Loss: -2.798 L: 6.086, 0min5sec 
Epoch 4 (batch = 1): Loss: -2.819 L: 5.887, 0min0sec 
Epoch 4 (batch = 2): Loss: -2.875 L: 5.870, 0min0sec 
Epoch 4 (batch = 3): Loss: -2.751 L: 5.891, 0min0sec 
Epoch 4 (batch = 4): Loss: -2.875 L: 5.911, 0min0sec 
Epoch 4 (batch = 5): Loss: -2.754 L: 5.833, 0min0sec 
Epoch 4 (batch = 6): Loss: -2.831 L: 5.891, 0min0sec 
Epoch 4 (batch = 7): Loss: -2.607 L: 5.908, 0min0sec 
Epoch 4 (batch = 8): Loss: -2.526 L: 5.942, 0min0sec 
Epoch 4 (batch = 9): Loss: -2.152 L: 5.955, 0min1sec 
Epoch 4 (batch = 10): Loss: -2.159 L: 5.952, 0min1sec 
Epoch 4 (batch = 11): Loss: -1.826 L: 5.956, 0min1sec 
Epoch 4 (batch = 12): Loss: -1.733 L: 5.925, 0min0sec 
Epoch 4 (batch = 13): Loss: -1.707 L: 5.916, 0min1sec 
Epoch 4 (batch = 14): Loss: -1.603 L: 5.887, 0min1sec 
Epoch 4 (batch = 15): Loss: -1.507 L: 5.868, 0min0sec 
Epoch 4 (batch = 16): Loss: -1.453 L: 5.847, 0min0sec 
Epoch 4 (batch = 17): Loss: -1.465 L: 5.831, 0min0sec 
Epoch 4 (batch = 18): Loss: -1.467 L: 5.828, 0min0sec 
Epoch 4 (batch = 19): Loss: -1.449 L: 5.810, 0min0sec 
Epoch 4 (batch = 20): Loss: -1.422 L: 5.801, 0min0sec 
Epoch 4 (batch = 21): Loss: -1.417 L: 5.810, 0min0sec 
Epoch 4 (batch = 22): Loss: -1.426 L: 5.802, 0min0sec 
Epoch 4 (batch = 23): Loss: -1.387 L: 5.797, 0min0sec 
Epoch 4 (batch = 24): Loss: -1.392 L: 5.802, 0min0sec 
Epoch 4 (batch = 25): Loss: -1.373 L: 5.801, 0min0sec 
Epoch 4 (batch = 26): Loss: -1.368 L: 5.795, 0min0sec 
Epoch 4 (batch = 27): Loss: -1.350 L: 5.790, 0min0sec 
Epoch 4 (batch = 28): Loss: -1.349 L: 5.794, 0min0sec 
Epoch 4 (batch = 29): Loss: -1.328 L: 5.788, 0min0sec 
Epoch 4 (batch = 30): Loss: -1.319 L: 5.795, 0min0sec 
Epoch 4 (batch = 31): Loss: -1.317 L: 5.786, 0min0sec 
Epoch 4 (batch = 32): Loss: -1.312 L: 5.785, 0min0sec 
Epoch 4 (batch = 33): Loss: -1.340 L: 5.777, 0min0sec 
Epoch 4 (batch = 34): Loss: -1.359 L: 5.772, 0min0sec 
Epoch 4 (batch = 35): Loss: -1.357 L: 5.768, 0min0sec 
Epoch 4 (batch = 36): Loss: -1.329 L: 5.765, 0min0sec 
Epoch 4 (batch = 37): Loss: -1.340 L: 5.762, 0min0sec 
Epoch 4 (batch = 38): Loss: -1.326 L: 5.764, 0min1sec 
Epoch 4 (batch = 39): Loss: -1.085 L: 5.766, 0min1sec 
Epoch 4 (batch = 40): Loss: -1.063 L: 5.760, 0min0sec 
Epoch 4 (batch = 41): Loss: -1.067 L: 5.755, 0min0sec 
Epoch 4 (batch = 42): Loss: -1.065 L: 5.744, 0min0sec 
Epoch 4 (batch = 43): Loss: -1.049 L: 5.736, 0min0sec 
Epoch 4 (batch = 44): Loss: -1.064 L: 5.734, 0min0sec 
Epoch 4 (batch = 45): Loss: -1.060 L: 5.720, 0min0sec 
Epoch 4 (batch = 46): Loss: -1.050 L: 5.718, 0min0sec 
Epoch 4 (batch = 47): Loss: -1.042 L: 5.708, 0min0sec 
Epoch 4 (batch = 48): Loss: -1.035 L: 5.713, 0min1sec 
Epoch 4 (batch = 49): Loss: -0.692 L: 5.721, 0min1sec 
Evaluating candidate model on baseline dataset (callback epoch = 4) 
Epoch 4 candidate mean 13.99209976196289, baseline mean 5.505899906158447 
Epoch 5 (batch = 0): Loss: 17.079 L: 5.539, 0min4sec 
Epoch 5 (batch = 1): Loss: 7.871 L: 5.816, 0min1sec 
Epoch 5 (batch = 2): Loss: 10.223 L: 5.737, 0min1sec 
Epoch 5 (batch = 3): Loss: 7.473 L: 5.646, 0min0sec 
Epoch 5 (batch = 4): Loss: 5.691 L: 5.673, 0min0sec 
Epoch 5 (batch = 5): Loss: 4.554 L: 5.635, 0min0sec 
Epoch 5 (batch = 6): Loss: 3.815 L: 5.643, 0min0sec 
Epoch 5 (batch = 7): Loss: 3.299 L: 5.554, 0min0sec 
Epoch 5 (batch = 8): Loss: 2.863 L: 5.481, 0min0sec 
Epoch 5 (batch = 9): Loss: 2.466 L: 5.475, 0min0sec 
Epoch 5 (batch = 10): Loss: 2.150 L: 5.480, 0min0sec 
Epoch 5 (batch = 11): Loss: 1.889 L: 5.484, 0min0sec 
Epoch 5 (batch = 12): Loss: 1.691 L: 5.482, 0min0sec 
Epoch 5 (batch = 13): Loss: 1.518 L: 5.488, 0min0sec 
Epoch 5 (batch = 14): Loss: 1.344 L: 5.469, 0min0sec 
Epoch 5 (batch = 15): Loss: 1.226 L: 5.462, 0min0sec 
Epoch 5 (batch = 16): Loss: 1.128 L: 5.454, 0min0sec 
Epoch 5 (batch = 17): Loss: 1.039 L: 5.460, 0min0sec 
Epoch 5 (batch = 18): Loss: 0.968 L: 5.453, 0min0sec 
Epoch 5 (batch = 19): Loss: 0.869 L: 5.463, 0min0sec 
Epoch 5 (batch = 20): Loss: 0.789 L: 5.461, 0min0sec 
Epoch 5 (batch = 21): Loss: 0.714 L: 5.456, 0min0sec 
Epoch 5 (batch = 22): Loss: 0.664 L: 5.441, 0min0sec 
Epoch 5 (batch = 23): Loss: 0.645 L: 5.431, 0min0sec 
Epoch 5 (batch = 24): Loss: 0.606 L: 5.432, 0min0sec 
Epoch 5 (batch = 25): Loss: 0.483 L: 5.454, 0min1sec 
Epoch 5 (batch = 26): Loss: 0.491 L: 5.458, 0min1sec 
Epoch 5 (batch = 27): Loss: 0.622 L: 5.460, 0min1sec 
Epoch 5 (batch = 28): Loss: 0.558 L: 5.470, 0min0sec 
Epoch 5 (batch = 29): Loss: 0.505 L: 5.481, 0min0sec 
Epoch 5 (batch = 30): Loss: 0.480 L: 5.481, 0min0sec 
Epoch 5 (batch = 31): Loss: 0.458 L: 5.476, 0min0sec 
Epoch 5 (batch = 32): Loss: 0.430 L: 5.473, 0min0sec 
Epoch 5 (batch = 33): Loss: 0.403 L: 5.466, 0min0sec 
Epoch 5 (batch = 34): Loss: 0.383 L: 5.462, 0min0sec 
Epoch 5 (batch = 35): Loss: 0.357 L: 5.467, 0min0sec 
Epoch 5 (batch = 36): Loss: 0.325 L: 5.464, 0min0sec 
Epoch 5 (batch = 37): Loss: 0.285 L: 5.476, 0min0sec 
Epoch 5 (batch = 38): Loss: 0.271 L: 5.474, 0min0sec 
Epoch 5 (batch = 39): Loss: 0.253 L: 5.470, 0min0sec 
Epoch 5 (batch = 40): Loss: 0.229 L: 5.468, 0min0sec 
Epoch 5 (batch = 41): Loss: 0.212 L: 5.455, 0min0sec 
Epoch 5 (batch = 42): Loss: 0.186 L: 5.456, 0min0sec 
Epoch 5 (batch = 43): Loss: 0.179 L: 5.450, 0min0sec 
Epoch 5 (batch = 44): Loss: 0.167 L: 5.453, 0min0sec 
Epoch 5 (batch = 45): Loss: 0.148 L: 5.460, 0min0sec 
Epoch 5 (batch = 46): Loss: 0.129 L: 5.462, 0min0sec 
Epoch 5 (batch = 47): Loss: 0.108 L: 5.461, 0min0sec 
Epoch 5 (batch = 48): Loss: 0.094 L: 5.458, 0min0sec 
Epoch 5 (batch = 49): Loss: 0.083 L: 5.458, 0min0sec 
Evaluating candidate model on baseline dataset (callback epoch = 5) 
Epoch 5 candidate mean 5.311100006103516, baseline mean 5.505899906158447 
Update baseline
Baseline model copied 
_update_baseline : Evaluating baseline model on baseline dataset (epoch = 5) 
bl_vals = [5. 3. 4. ... 2. 4. 5.] ,means = 5.311200141906738 
Epoch 6 (batch = 0): Loss: -0.403 L: 5.250, 0min4sec 
Epoch 6 (batch = 1): Loss: -0.328 L: 5.391, 0min0sec 
Epoch 6 (batch = 2): Loss: -0.363 L: 5.466, 0min0sec 
Epoch 6 (batch = 3): Loss: -0.393 L: 5.455, 0min0sec 
Epoch 6 (batch = 4): Loss: -0.403 L: 5.427, 0min0sec 
Epoch 6 (batch = 5): Loss: -0.382 L: 5.396, 0min0sec 
Epoch 6 (batch = 6): Loss: -0.338 L: 5.436, 0min0sec 
Epoch 6 (batch = 7): Loss: -0.348 L: 5.473, 0min0sec 
Epoch 6 (batch = 8): Loss: -0.345 L: 5.472, 0min0sec 
Epoch 6 (batch = 9): Loss: -0.355 L: 5.491, 0min0sec 
Epoch 6 (batch = 10): Loss: -0.356 L: 5.467, 0min0sec 
Epoch 6 (batch = 11): Loss: -0.363 L: 5.440, 0min0sec 
Epoch 6 (batch = 12): Loss: -0.370 L: 5.432, 0min0sec 
Epoch 6 (batch = 13): Loss: -0.373 L: 5.411, 0min0sec 
Epoch 6 (batch = 14): Loss: -0.388 L: 5.422, 0min0sec 
Epoch 6 (batch = 15): Loss: -0.392 L: 5.437, 0min0sec 
Epoch 6 (batch = 16): Loss: -0.379 L: 5.455, 0min0sec 
Epoch 6 (batch = 17): Loss: -0.388 L: 5.464, 0min0sec 
Epoch 6 (batch = 18): Loss: -0.372 L: 5.440, 0min0sec 
Epoch 6 (batch = 19): Loss: -0.368 L: 5.428, 0min0sec 
Epoch 6 (batch = 20): Loss: -0.356 L: 5.426, 0min0sec 
Epoch 6 (batch = 21): Loss: -0.345 L: 5.423, 0min0sec 
Epoch 6 (batch = 22): Loss: -0.346 L: 5.435, 0min0sec 
Epoch 6 (batch = 23): Loss: -0.340 L: 5.429, 0min0sec 
Epoch 6 (batch = 24): Loss: -0.339 L: 5.429, 0min0sec 
Epoch 6 (batch = 25): Loss: -0.331 L: 5.412, 0min0sec 
Epoch 6 (batch = 26): Loss: -0.321 L: 5.409, 0min0sec 
Epoch 6 (batch = 27): Loss: -0.331 L: 5.416, 0min0sec 
Epoch 6 (batch = 28): Loss: -0.361 L: 5.428, 0min1sec 
Epoch 6 (batch = 29): Loss: -0.332 L: 5.418, 0min1sec 
Epoch 6 (batch = 30): Loss: -0.330 L: 5.413, 0min0sec 
Epoch 6 (batch = 31): Loss: -0.328 L: 5.410, 0min0sec 
Epoch 6 (batch = 32): Loss: -0.329 L: 5.404, 0min0sec 
Epoch 6 (batch = 33): Loss: -0.329 L: 5.416, 0min0sec 
Epoch 6 (batch = 34): Loss: -0.323 L: 5.418, 0min0sec 
Epoch 6 (batch = 35): Loss: -0.325 L: 5.424, 0min0sec 
Epoch 6 (batch = 36): Loss: -0.323 L: 5.425, 0min0sec 
Epoch 6 (batch = 37): Loss: -0.322 L: 5.431, 0min0sec 
Epoch 6 (batch = 38): Loss: -0.320 L: 5.429, 0min0sec 
Epoch 6 (batch = 39): Loss: -0.317 L: 5.424, 0min0sec 
Epoch 6 (batch = 40): Loss: -0.312 L: 5.432, 0min0sec 
