240119_00_18
 start training 
Baseline model copied 
_update_baseline : Evaluating baseline model on baseline dataset (epoch = 0) 
bl_vals = [45. 45.  3. ... 45. 45. 45.] ,means = 38.174198150634766 
Epoch 0 (batch = 28): Loss: -255.947 L: 22.144, 0min2sec 
Epoch 0 (batch = 29): Loss: -254.190 L: 21.979, 0min2sec 
Epoch 0 (batch = 30): Loss: -253.657 L: 21.818, 0min2sec 
Epoch 0 (batch = 31): Loss: -249.655 L: 21.616, 0min2sec 
Epoch 0 (batch = 32): Loss: -249.701 L: 21.495, 0min2sec 
Epoch 0 (batch = 33): Loss: -247.108 L: 21.314, 0min2sec 
Epoch 0 (batch = 34): Loss: -244.053 L: 21.152, 0min2sec 
Epoch 0 (batch = 35): Loss: -242.773 L: 20.998, 0min2sec 
Epoch 0 (batch = 36): Loss: -241.559 L: 20.892, 0min2sec 
Epoch 0 (batch = 37): Loss: -238.959 L: 20.729, 0min2sec 
Epoch 0 (batch = 38): Loss: -237.341 L: 20.600, 0min2sec 
Epoch 0 (batch = 39): Loss: -237.086 L: 20.480, 0min2sec 
Epoch 0 (batch = 40): Loss: -234.208 L: 20.322, 0min1sec 
Epoch 0 (batch = 41): Loss: -231.899 L: 20.187, 0min2sec 
Epoch 0 (batch = 42): Loss: -229.221 L: 20.036, 0min2sec 
Epoch 0 (batch = 43): Loss: -227.734 L: 19.919, 0min2sec 
Epoch 0 (batch = 44): Loss: -225.874 L: 19.794, 0min2sec 
Epoch 0 (batch = 45): Loss: -224.604 L: 19.694, 0min1sec 
Epoch 0 (batch = 46): Loss: -222.906 L: 19.588, 0min2sec 
Epoch 0 (batch = 47): Loss: -221.516 L: 19.477, 0min2sec 
Epoch 0 (batch = 48): Loss: -218.215 L: 19.355, 0min2sec 
Epoch 0 (batch = 49): Loss: -216.311 L: 19.241, 0min2sec 
Evaluating candidate model on baseline dataset (callback epoch = 0) 
Epoch 0 candidate mean 15.475500106811523, baseline mean 38.174198150634766 
Update baseline
Baseline model copied 
_update_baseline : Evaluating baseline model on baseline dataset (epoch = 0) 
bl_vals = [ 8.  8. 12. ...  2.  8.  5.] ,means = 13.950699806213379 
Epoch 1 (batch = 0): Loss: -145.043 L: 14.836, 0min8sec 
Epoch 1 (batch = 1): Loss: -138.520 L: 14.242, 0min2sec 
Epoch 1 (batch = 2): Loss: -124.052 L: 14.281, 0min2sec 
Epoch 1 (batch = 3): Loss: -124.941 L: 14.471, 0min2sec 
Epoch 1 (batch = 4): Loss: -121.193 L: 14.217, 0min2sec 
Epoch 1 (batch = 5): Loss: -120.237 L: 14.185, 0min2sec 
Epoch 1 (batch = 6): Loss: -117.989 L: 14.104, 0min2sec 
Epoch 1 (batch = 7): Loss: -116.478 L: 14.026, 0min2sec 
Epoch 1 (batch = 8): Loss: -109.510 L: 13.734, 0min2sec 
Epoch 1 (batch = 9): Loss: -106.201 L: 13.533, 0min2sec 
Epoch 1 (batch = 10): Loss: -105.636 L: 13.580, 0min2sec 
Epoch 1 (batch = 11): Loss: -103.622 L: 13.538, 0min2sec 
Epoch 1 (batch = 12): Loss: -100.089 L: 13.459, 0min2sec 
Epoch 1 (batch = 13): Loss: -98.089 L: 13.392, 0min2sec 
Epoch 1 (batch = 14): Loss: -93.545 L: 13.285, 0min1sec 
Epoch 1 (batch = 15): Loss: -92.956 L: 13.220, 0min2sec 
Epoch 1 (batch = 16): Loss: -91.679 L: 13.117, 0min2sec 
Epoch 1 (batch = 17): Loss: -89.697 L: 13.047, 0min2sec 
Epoch 1 (batch = 18): Loss: -88.763 L: 12.956, 0min2sec 
Epoch 1 (batch = 19): Loss: -87.749 L: 12.900, 0min2sec 
Epoch 1 (batch = 20): Loss: -88.225 L: 12.866, 0min1sec 
Epoch 1 (batch = 21): Loss: -84.976 L: 12.847, 0min2sec 
Epoch 1 (batch = 22): Loss: -82.218 L: 12.734, 0min1sec 
Epoch 1 (batch = 23): Loss: -81.636 L: 12.687, 0min1sec 
Epoch 1 (batch = 24): Loss: -81.548 L: 12.681, 0min2sec 
Epoch 1 (batch = 25): Loss: -81.690 L: 12.629, 0min1sec 
Epoch 1 (batch = 26): Loss: -80.235 L: 12.557, 0min1sec 
Epoch 1 (batch = 27): Loss: -79.988 L: 12.516, 0min1sec 
Epoch 1 (batch = 28): Loss: -79.345 L: 12.461, 0min1sec 
Epoch 1 (batch = 29): Loss: -79.050 L: 12.403, 0min1sec 
Epoch 1 (batch = 30): Loss: -78.146 L: 12.335, 0min1sec 
Epoch 1 (batch = 31): Loss: -77.317 L: 12.265, 0min1sec 
Epoch 1 (batch = 32): Loss: -77.353 L: 12.224, 0min1sec 
Epoch 1 (batch = 33): Loss: -76.790 L: 12.182, 0min2sec 
Epoch 1 (batch = 34): Loss: -75.124 L: 12.100, 0min1sec 
Epoch 1 (batch = 35): Loss: -74.378 L: 12.059, 0min1sec 
Epoch 1 (batch = 36): Loss: -73.738 L: 12.008, 0min1sec 
Epoch 1 (batch = 37): Loss: -73.241 L: 11.989, 0min2sec 
Epoch 1 (batch = 38): Loss: -72.796 L: 11.958, 0min1sec 
Epoch 1 (batch = 39): Loss: -71.889 L: 11.912, 0min2sec 
Epoch 1 (batch = 40): Loss: -70.715 L: 11.875, 0min1sec 
Epoch 1 (batch = 41): Loss: -70.786 L: 11.874, 0min2sec 
Epoch 1 (batch = 42): Loss: -70.400 L: 11.847, 0min2sec 
Epoch 1 (batch = 43): Loss: -69.574 L: 11.803, 0min2sec 
Epoch 1 (batch = 44): Loss: -69.314 L: 11.759, 0min1sec 
Epoch 1 (batch = 45): Loss: -68.544 L: 11.719, 0min1sec 
Epoch 1 (batch = 46): Loss: -67.716 L: 11.671, 0min1sec 
Epoch 1 (batch = 47): Loss: -67.205 L: 11.625, 0min1sec 
Epoch 1 (batch = 48): Loss: -66.493 L: 11.571, 0min1sec 
Epoch 1 (batch = 49): Loss: -65.702 L: 11.518, 0min1sec 
Evaluating candidate model on baseline dataset (callback epoch = 1) 
Epoch 1 candidate mean 10.610600471496582, baseline mean 13.950699806213379 
Update baseline
Baseline model copied 
_update_baseline : Evaluating baseline model on baseline dataset (epoch = 1) 
bl_vals = [45.  5.  7. ...  4.  4.  6.] ,means = 9.534600257873535 
Epoch 2 (batch = 0): Loss: -47.691 L: 10.695, 0min8sec 
Epoch 2 (batch = 1): Loss: -46.006 L: 10.211, 0min1sec 
Epoch 2 (batch = 2): Loss: -41.577 L: 9.997, 0min1sec 
Epoch 2 (batch = 3): Loss: -42.143 L: 9.871, 0min1sec 
Epoch 2 (batch = 4): Loss: -39.586 L: 9.606, 0min1sec 
Epoch 2 (batch = 5): Loss: -39.245 L: 9.729, 0min1sec 
Epoch 2 (batch = 6): Loss: -37.406 L: 9.694, 0min2sec 
Epoch 2 (batch = 7): Loss: -38.259 L: 9.605, 0min1sec 
Epoch 2 (batch = 8): Loss: -32.152 L: 9.497, 0min1sec 
Epoch 2 (batch = 9): Loss: -32.181 L: 9.437, 0min1sec 
Epoch 2 (batch = 10): Loss: -30.654 L: 9.319, 0min1sec 
Epoch 2 (batch = 11): Loss: -29.770 L: 9.213, 0min1sec 
Epoch 2 (batch = 12): Loss: -29.581 L: 9.149, 0min1sec 
Epoch 2 (batch = 13): Loss: -29.546 L: 9.119, 0min1sec 
Epoch 2 (batch = 14): Loss: -30.322 L: 9.129, 0min1sec 
Epoch 2 (batch = 15): Loss: -30.316 L: 9.090, 0min1sec 
Epoch 2 (batch = 16): Loss: -30.679 L: 9.109, 0min1sec 
Epoch 2 (batch = 17): Loss: -30.027 L: 9.035, 0min1sec 
Epoch 2 (batch = 18): Loss: -30.809 L: 9.051, 0min1sec 
Epoch 2 (batch = 19): Loss: -29.718 L: 9.013, 0min1sec 
Epoch 2 (batch = 20): Loss: -29.210 L: 8.973, 0min1sec 
Epoch 2 (batch = 21): Loss: -29.204 L: 8.967, 0min1sec 
Epoch 2 (batch = 22): Loss: -29.049 L: 8.938, 0min1sec 
Epoch 2 (batch = 23): Loss: -28.630 L: 8.905, 0min1sec 
Epoch 2 (batch = 24): Loss: -28.127 L: 8.894, 0min1sec 
Epoch 2 (batch = 25): Loss: -27.766 L: 8.849, 0min1sec 
Epoch 2 (batch = 26): Loss: -27.414 L: 8.819, 0min1sec 
Epoch 2 (batch = 27): Loss: -27.894 L: 8.813, 0min1sec 
Epoch 2 (batch = 28): Loss: -26.218 L: 8.772, 0min1sec 
Epoch 2 (batch = 29): Loss: -26.120 L: 8.748, 0min1sec 
Epoch 2 (batch = 30): Loss: -25.922 L: 8.732, 0min1sec 
Epoch 2 (batch = 31): Loss: -25.482 L: 8.706, 0min1sec 
Epoch 2 (batch = 32): Loss: -25.428 L: 8.695, 0min1sec 
Epoch 2 (batch = 33): Loss: -24.527 L: 8.641, 0min1sec 
Epoch 2 (batch = 34): Loss: -24.505 L: 8.629, 0min1sec 
Epoch 2 (batch = 35): Loss: -24.306 L: 8.585, 0min1sec 
Epoch 2 (batch = 36): Loss: -24.065 L: 8.557, 0min1sec 
Epoch 2 (batch = 37): Loss: -23.953 L: 8.554, 0min1sec 
Epoch 2 (batch = 38): Loss: -23.846 L: 8.537, 0min1sec 
Epoch 2 (batch = 39): Loss: -23.672 L: 8.526, 0min1sec 
Epoch 2 (batch = 40): Loss: -23.297 L: 8.487, 0min1sec 
Epoch 2 (batch = 41): Loss: -23.044 L: 8.467, 0min0sec 
Epoch 2 (batch = 42): Loss: -22.773 L: 8.443, 0min1sec 
Epoch 2 (batch = 43): Loss: -22.913 L: 8.439, 0min1sec 
Epoch 2 (batch = 44): Loss: -22.559 L: 8.410, 0min1sec 
Epoch 2 (batch = 45): Loss: -22.522 L: 8.404, 0min1sec 
Epoch 2 (batch = 46): Loss: -22.581 L: 8.395, 0min1sec 
Epoch 2 (batch = 47): Loss: -22.391 L: 8.365, 0min1sec 
Epoch 2 (batch = 48): Loss: -22.437 L: 8.349, 0min1sec 
Epoch 2 (batch = 49): Loss: -22.453 L: 8.332, 0min1sec 
Evaluating candidate model on baseline dataset (callback epoch = 2) 
Epoch 2 candidate mean 11.159600257873535, baseline mean 9.534600257873535 
Epoch 3 (batch = 0): Loss: 9.621 L: 7.750, 0min4sec 
Epoch 3 (batch = 1): Loss: -1.782 L: 7.426, 0min0sec 
Epoch 3 (batch = 2): Loss: -5.077 L: 7.401, 0min0sec 
Epoch 3 (batch = 3): Loss: -6.057 L: 7.240, 0min0sec 
Epoch 3 (batch = 4): Loss: -5.996 L: 7.200, 0min0sec 
Epoch 3 (batch = 5): Loss: -6.153 L: 7.145, 0min0sec 
Epoch 3 (batch = 6): Loss: -7.433 L: 7.199, 0min1sec 
Epoch 3 (batch = 7): Loss: -7.623 L: 7.185, 0min1sec 
Epoch 3 (batch = 8): Loss: -7.944 L: 7.162, 0min0sec 
Epoch 3 (batch = 9): Loss: -8.418 L: 7.199, 0min0sec 
Epoch 3 (batch = 10): Loss: -8.540 L: 7.195, 0min0sec 
Epoch 3 (batch = 11): Loss: -8.679 L: 7.140, 0min0sec 
Epoch 3 (batch = 12): Loss: -8.287 L: 7.053, 0min0sec 
Epoch 3 (batch = 13): Loss: -8.199 L: 7.054, 0min0sec 
Epoch 3 (batch = 14): Loss: -8.129 L: 7.044, 0min0sec 
Epoch 3 (batch = 15): Loss: -8.021 L: 7.014, 0min0sec 
Epoch 3 (batch = 16): Loss: -7.863 L: 6.977, 0min0sec 
Epoch 3 (batch = 17): Loss: -7.763 L: 6.957, 0min0sec 
Epoch 3 (batch = 18): Loss: -7.683 L: 6.950, 0min0sec 
Epoch 3 (batch = 19): Loss: -7.616 L: 6.955, 0min0sec 
Epoch 3 (batch = 20): Loss: -7.531 L: 6.933, 0min0sec 
Epoch 3 (batch = 21): Loss: -7.458 L: 6.900, 0min0sec 
Epoch 3 (batch = 22): Loss: -7.366 L: 6.882, 0min0sec 
Epoch 3 (batch = 23): Loss: -7.443 L: 6.870, 0min0sec 
Epoch 3 (batch = 24): Loss: -7.313 L: 6.846, 0min0sec 
Epoch 3 (batch = 25): Loss: -7.221 L: 6.838, 0min1sec 
Epoch 3 (batch = 26): Loss: -7.068 L: 6.817, 0min1sec 
Epoch 3 (batch = 27): Loss: -7.068 L: 6.807, 0min0sec 
Epoch 3 (batch = 28): Loss: -6.950 L: 6.785, 0min0sec 
Epoch 3 (batch = 29): Loss: -6.856 L: 6.773, 0min0sec 
Epoch 3 (batch = 30): Loss: -6.826 L: 6.759, 0min0sec 
Epoch 3 (batch = 31): Loss: -6.668 L: 6.750, 0min1sec 
Epoch 3 (batch = 32): Loss: -6.495 L: 6.737, 0min1sec 
Epoch 3 (batch = 33): Loss: -6.359 L: 6.740, 0min2sec 
Epoch 3 (batch = 34): Loss: -5.183 L: 6.728, 0min1sec 
Epoch 3 (batch = 35): Loss: -4.975 L: 6.703, 0min1sec 
Epoch 3 (batch = 36): Loss: -4.930 L: 6.686, 0min0sec 
Epoch 3 (batch = 37): Loss: -4.860 L: 6.666, 0min0sec 
Epoch 3 (batch = 38): Loss: -4.850 L: 6.658, 0min0sec 
Epoch 3 (batch = 39): Loss: -4.834 L: 6.647, 0min0sec 
Epoch 3 (batch = 40): Loss: -4.794 L: 6.629, 0min0sec 
Epoch 3 (batch = 41): Loss: -4.745 L: 6.620, 0min0sec 
Epoch 3 (batch = 42): Loss: -4.707 L: 6.608, 0min0sec 
Epoch 3 (batch = 43): Loss: -4.704 L: 6.600, 0min0sec 
Epoch 3 (batch = 44): Loss: -4.647 L: 6.589, 0min0sec 
Epoch 3 (batch = 45): Loss: -4.598 L: 6.579, 0min0sec 
Epoch 3 (batch = 46): Loss: -4.555 L: 6.569, 0min0sec 
Epoch 3 (batch = 47): Loss: -4.520 L: 6.560, 0min0sec 
Epoch 3 (batch = 48): Loss: -4.477 L: 6.560, 0min0sec 
Epoch 3 (batch = 49): Loss: -4.439 L: 6.554, 0min0sec 
Evaluating candidate model on baseline dataset (callback epoch = 3) 
Epoch 3 candidate mean 5.588500022888184, baseline mean 9.534600257873535 
Update baseline
Baseline model copied 
_update_baseline : Evaluating baseline model on baseline dataset (epoch = 3) 
bl_vals = [7. 7. 8. ... 6. 6. 4.] ,means = 5.481500148773193 
Epoch 4 (batch = 0): Loss: -1.361 L: 5.797, 0min5sec 
Epoch 4 (batch = 1): Loss: -1.950 L: 5.766, 0min0sec 
Epoch 4 (batch = 2): Loss: -2.512 L: 5.799, 0min0sec 
Epoch 4 (batch = 3): Loss: -2.448 L: 5.754, 0min0sec 
Epoch 4 (batch = 4): Loss: -3.077 L: 5.866, 0min1sec 
Epoch 4 (batch = 5): Loss: -2.544 L: 5.801, 0min1sec 
Epoch 4 (batch = 6): Loss: -2.604 L: 5.779, 0min0sec 
Epoch 4 (batch = 7): Loss: -2.778 L: 5.799, 0min1sec 
Epoch 4 (batch = 8): Loss: -1.033 L: 5.804, 0min1sec 
Epoch 4 (batch = 9): Loss: -1.070 L: 5.770, 0min0sec 
Epoch 4 (batch = 10): Loss: -1.217 L: 5.763, 0min0sec 
Epoch 4 (batch = 11): Loss: -1.363 L: 5.768, 0min0sec 
Epoch 4 (batch = 12): Loss: -1.408 L: 5.789, 0min0sec 
Epoch 4 (batch = 13): Loss: -1.373 L: 5.802, 0min0sec 
Epoch 4 (batch = 14): Loss: -1.351 L: 5.797, 0min0sec 
Epoch 4 (batch = 15): Loss: -1.319 L: 5.791, 0min0sec 
Epoch 4 (batch = 16): Loss: -1.354 L: 5.811, 0min0sec 
Epoch 4 (batch = 17): Loss: -1.326 L: 5.812, 0min0sec 
Epoch 4 (batch = 18): Loss: -1.331 L: 5.816, 0min0sec 
Epoch 4 (batch = 19): Loss: -1.340 L: 5.810, 0min0sec 
Epoch 4 (batch = 20): Loss: -1.355 L: 5.817, 0min0sec 
Epoch 4 (batch = 21): Loss: -1.320 L: 5.826, 0min0sec 
Epoch 4 (batch = 22): Loss: -1.281 L: 5.820, 0min0sec 
Epoch 4 (batch = 23): Loss: -1.273 L: 5.829, 0min0sec 
Epoch 4 (batch = 24): Loss: -1.272 L: 5.807, 0min0sec 
Epoch 4 (batch = 25): Loss: -1.239 L: 5.801, 0min0sec 
Epoch 4 (batch = 26): Loss: -1.247 L: 5.814, 0min0sec 
Epoch 4 (batch = 27): Loss: -1.272 L: 5.835, 0min0sec 
Epoch 4 (batch = 28): Loss: -1.269 L: 5.835, 0min0sec 
Epoch 4 (batch = 29): Loss: -1.270 L: 5.833, 0min0sec 
Epoch 4 (batch = 30): Loss: -1.275 L: 5.829, 0min0sec 
Epoch 4 (batch = 31): Loss: -1.278 L: 5.810, 0min0sec 
Epoch 4 (batch = 32): Loss: -1.283 L: 5.809, 0min0sec 
Epoch 4 (batch = 33): Loss: -1.288 L: 5.804, 0min0sec 
Epoch 4 (batch = 34): Loss: -1.265 L: 5.795, 0min0sec 
Epoch 4 (batch = 35): Loss: -1.249 L: 5.786, 0min0sec 
Epoch 4 (batch = 36): Loss: -1.231 L: 5.771, 0min0sec 
Epoch 4 (batch = 37): Loss: -1.220 L: 5.774, 0min0sec 
Epoch 4 (batch = 38): Loss: -1.237 L: 5.776, 0min0sec 
Epoch 4 (batch = 39): Loss: -1.225 L: 5.769, 0min0sec 
Epoch 4 (batch = 40): Loss: -1.206 L: 5.761, 0min0sec 
Epoch 4 (batch = 41): Loss: -1.196 L: 5.756, 0min0sec 
Epoch 4 (batch = 42): Loss: -1.198 L: 5.757, 0min0sec 
Epoch 4 (batch = 43): Loss: -1.181 L: 5.750, 0min0sec 
Epoch 4 (batch = 44): Loss: -1.174 L: 5.747, 0min0sec 
Epoch 4 (batch = 45): Loss: -1.150 L: 5.740, 0min0sec 
Epoch 4 (batch = 46): Loss: -1.134 L: 5.733, 0min0sec 
Epoch 4 (batch = 47): Loss: -1.115 L: 5.725, 0min0sec 
Epoch 4 (batch = 48): Loss: -1.106 L: 5.717, 0min0sec 
Epoch 4 (batch = 49): Loss: -1.106 L: 5.717, 0min0sec 
Evaluating candidate model on baseline dataset (callback epoch = 4) 
Epoch 4 candidate mean 5.425099849700928, baseline mean 5.481500148773193 
Update baseline
Baseline model copied 
_update_baseline : Evaluating baseline model on baseline dataset (epoch = 4) 
bl_vals = [3. 4. 6. ... 7. 2. 5.] ,means = 5.360199928283691 
Epoch 5 (batch = 0): Loss: -1.098 L: 5.594, 0min4sec 
Epoch 5 (batch = 1): Loss: -0.928 L: 5.465, 0min0sec 
Epoch 5 (batch = 2): Loss: -0.838 L: 5.586, 0min0sec 
Epoch 5 (batch = 3): Loss: -0.884 L: 5.525, 0min0sec 
Epoch 5 (batch = 4): Loss: -0.861 L: 5.520, 0min0sec 
Epoch 5 (batch = 5): Loss: -0.785 L: 5.521, 0min0sec 
Epoch 5 (batch = 6): Loss: -0.816 L: 5.527, 0min0sec 
Epoch 5 (batch = 7): Loss: -0.790 L: 5.535, 0min0sec 
Epoch 5 (batch = 8): Loss: -0.718 L: 5.547, 0min0sec 
Epoch 5 (batch = 9): Loss: -0.694 L: 5.532, 0min0sec 
Epoch 5 (batch = 10): Loss: -0.665 L: 5.494, 0min0sec 
Epoch 5 (batch = 11): Loss: -0.656 L: 5.508, 0min0sec 
Epoch 5 (batch = 12): Loss: -0.651 L: 5.525, 0min0sec 
Epoch 5 (batch = 13): Loss: -0.670 L: 5.540, 0min0sec 
Epoch 5 (batch = 14): Loss: -0.647 L: 5.547, 0min0sec 
Epoch 5 (batch = 15): Loss: -0.661 L: 5.553, 0min0sec 
Epoch 5 (batch = 16): Loss: -0.634 L: 5.548, 0min0sec 
Epoch 5 (batch = 17): Loss: -0.626 L: 5.549, 0min0sec 
Epoch 5 (batch = 18): Loss: -0.646 L: 5.544, 0min0sec 
Epoch 5 (batch = 19): Loss: -0.635 L: 5.542, 0min0sec 
Epoch 5 (batch = 20): Loss: -0.603 L: 5.537, 0min0sec 
Epoch 5 (batch = 21): Loss: -0.582 L: 5.528, 0min0sec 
Epoch 5 (batch = 22): Loss: -0.566 L: 5.516, 0min0sec 
Epoch 5 (batch = 23): Loss: -0.570 L: 5.515, 0min0sec 
Epoch 5 (batch = 24): Loss: -0.584 L: 5.505, 0min0sec 
Epoch 5 (batch = 25): Loss: -0.577 L: 5.505, 0min0sec 
Epoch 5 (batch = 26): Loss: -0.578 L: 5.502, 0min0sec 
Epoch 5 (batch = 27): Loss: -0.588 L: 5.497, 0min0sec 
Epoch 5 (batch = 28): Loss: -0.570 L: 5.490, 0min0sec 
Epoch 5 (batch = 29): Loss: -0.570 L: 5.495, 0min0sec 
Epoch 5 (batch = 30): Loss: -0.643 L: 5.493, 0min1sec 
Epoch 5 (batch = 31): Loss: -0.387 L: 5.502, 0min1sec 
Epoch 5 (batch = 32): Loss: -0.385 L: 5.492, 0min0sec 
Epoch 5 (batch = 33): Loss: -0.389 L: 5.493, 0min0sec 
Epoch 5 (batch = 34): Loss: -0.401 L: 5.491, 0min0sec 
Epoch 5 (batch = 35): Loss: -0.404 L: 5.487, 0min0sec 
Epoch 5 (batch = 36): Loss: -0.390 L: 5.486, 0min0sec 
Epoch 5 (batch = 37): Loss: -0.383 L: 5.471, 0min0sec 
Epoch 5 (batch = 38): Loss: -0.383 L: 5.479, 0min0sec 
Epoch 5 (batch = 39): Loss: -0.377 L: 5.483, 0min0sec 
Epoch 5 (batch = 40): Loss: -0.381 L: 5.489, 0min0sec 
Epoch 5 (batch = 41): Loss: -0.367 L: 5.477, 0min0sec 
Epoch 5 (batch = 42): Loss: -0.368 L: 5.482, 0min0sec 
Epoch 5 (batch = 43): Loss: -0.357 L: 5.478, 0min0sec 
Epoch 5 (batch = 44): Loss: -0.366 L: 5.477, 0min0sec 
Epoch 5 (batch = 45): Loss: -0.361 L: 5.472, 0min0sec 
Epoch 5 (batch = 46): Loss: -0.364 L: 5.475, 0min0sec 
Epoch 5 (batch = 47): Loss: -0.375 L: 5.481, 0min1sec 
Epoch 5 (batch = 48): Loss: -0.211 L: 5.487, 0min1sec 
Epoch 5 (batch = 49): Loss: -0.205 L: 5.481, 0min0sec 
Evaluating candidate model on baseline dataset (callback epoch = 5) 
Epoch 5 candidate mean 5.413300037384033, baseline mean 5.360199928283691 
Epoch 6 (batch = 0): Loss: -0.494 L: 5.484, 0min2sec 
Epoch 6 (batch = 1): Loss: -0.430 L: 5.496, 0min0sec 
Epoch 6 (batch = 2): Loss: -0.369 L: 5.492, 0min0sec 
Epoch 6 (batch = 3): Loss: -0.340 L: 5.480, 0min0sec 
Epoch 6 (batch = 4): Loss: -0.373 L: 5.405, 0min0sec 
Epoch 6 (batch = 5): Loss: -0.386 L: 5.415, 0min0sec 
Epoch 6 (batch = 6): Loss: -0.364 L: 5.367, 0min0sec 
Epoch 6 (batch = 7): Loss: -0.338 L: 5.363, 0min0sec 
Epoch 6 (batch = 8): Loss: -0.342 L: 5.385, 0min0sec 
Epoch 6 (batch = 9): Loss: -0.330 L: 5.371, 0min0sec 
Epoch 6 (batch = 10): Loss: -0.328 L: 5.347, 0min0sec 
Epoch 6 (batch = 11): Loss: -0.292 L: 5.315, 0min0sec 
Epoch 6 (batch = 12): Loss: -0.288 L: 5.310, 0min0sec 
Epoch 6 (batch = 13): Loss: -0.304 L: 5.323, 0min0sec 
Epoch 6 (batch = 14): Loss: -0.293 L: 5.326, 0min0sec 
Epoch 6 (batch = 15): Loss: -0.322 L: 5.347, 0min0sec 
Epoch 6 (batch = 16): Loss: -0.318 L: 5.352, 0min0sec 
Epoch 6 (batch = 17): Loss: -0.311 L: 5.336, 0min0sec 
Epoch 6 (batch = 18): Loss: -0.310 L: 5.342, 0min0sec 
Epoch 6 (batch = 19): Loss: -0.301 L: 5.346, 0min0sec 
Epoch 6 (batch = 20): Loss: -0.290 L: 5.343, 0min0sec 
Epoch 6 (batch = 21): Loss: -0.285 L: 5.333, 0min0sec 
Epoch 6 (batch = 22): Loss: -0.281 L: 5.325, 0min0sec 
Epoch 6 (batch = 23): Loss: -0.283 L: 5.339, 0min0sec 
Epoch 6 (batch = 24): Loss: -0.276 L: 5.333, 0min0sec 
Epoch 6 (batch = 25): Loss: -0.279 L: 5.338, 0min0sec 
Epoch 6 (batch = 26): Loss: -0.290 L: 5.343, 0min0sec 
Epoch 6 (batch = 27): Loss: -0.283 L: 5.335, 0min0sec 
Epoch 6 (batch = 28): Loss: -0.289 L: 5.333, 0min0sec 
Epoch 6 (batch = 29): Loss: -0.276 L: 5.331, 0min0sec 
Epoch 6 (batch = 30): Loss: -0.263 L: 5.341, 0min0sec 
Epoch 6 (batch = 31): Loss: -0.258 L: 5.347, 0min0sec 
Epoch 6 (batch = 32): Loss: -0.198 L: 5.344, 0min1sec 
Epoch 6 (batch = 33): Loss: -0.161 L: 5.355, 0min1sec 
Epoch 6 (batch = 34): Loss: -0.257 L: 5.369, 0min1sec 
Epoch 6 (batch = 35): Loss: -0.217 L: 5.368, 0min1sec 
Epoch 6 (batch = 36): Loss: -0.133 L: 5.389, 0min1sec 
Epoch 6 (batch = 37): Loss: -0.045 L: 5.397, 0min1sec 
Epoch 6 (batch = 38): Loss: -0.061 L: 5.404, 0min1sec 
Epoch 6 (batch = 39): Loss: 0.236 L: 5.408, 0min1sec 
Epoch 6 (batch = 40): Loss: 0.231 L: 5.404, 0min1sec 
Epoch 6 (batch = 41): Loss: 0.281 L: 5.429, 0min1sec 
Epoch 6 (batch = 42): Loss: 0.287 L: 5.422, 0min1sec 
