240117_16_17
 start training 
Baseline model copied 
_update_baseline : Evaluating baseline model on baseline dataset (epoch = 0) 
bl_vals = [ 2.  3. 32. ... 32.  2. 32.] ,means = 21.033899307250977 
Epoch 0 (batch = 27): Loss: 27.746 L: 7.999, 0min0sec 
Epoch 0 (batch = 28): Loss: 27.012 L: 7.865, 0min0sec 
Epoch 0 (batch = 29): Loss: 27.375 L: 7.742, 0min2sec 
Epoch 0 (batch = 30): Loss: 26.630 L: 7.607, 0min0sec 
Epoch 0 (batch = 31): Loss: 25.945 L: 7.481, 0min0sec 
Epoch 0 (batch = 32): Loss: 25.270 L: 7.347, 0min0sec 
Epoch 0 (batch = 33): Loss: 26.390 L: 7.259, 0min2sec 
Epoch 0 (batch = 34): Loss: 25.839 L: 7.142, 0min0sec 
Epoch 0 (batch = 35): Loss: 25.231 L: 7.036, 0min0sec 
Epoch 0 (batch = 36): Loss: 24.688 L: 6.930, 0min0sec 
Epoch 0 (batch = 37): Loss: 24.146 L: 6.825, 0min0sec 
Epoch 0 (batch = 38): Loss: 23.630 L: 6.735, 0min0sec 
Epoch 0 (batch = 39): Loss: 23.147 L: 6.643, 0min0sec 
Epoch 0 (batch = 40): Loss: 22.652 L: 6.556, 0min0sec 
Epoch 0 (batch = 41): Loss: 22.254 L: 6.469, 0min0sec 
Epoch 0 (batch = 42): Loss: 21.835 L: 6.387, 0min0sec 
Epoch 0 (batch = 43): Loss: 21.456 L: 6.311, 0min0sec 
Epoch 0 (batch = 44): Loss: 21.078 L: 6.236, 0min0sec 
Epoch 0 (batch = 45): Loss: 20.703 L: 6.163, 0min0sec 
Epoch 0 (batch = 46): Loss: 20.361 L: 6.094, 0min0sec 
Epoch 0 (batch = 47): Loss: 19.999 L: 6.028, 0min0sec 
Epoch 0 (batch = 48): Loss: 22.950 L: 6.012, 0min2sec 
Epoch 0 (batch = 49): Loss: 24.226 L: 5.970, 0min2sec 
Epoch 0 (batch = 50): Loss: 24.556 L: 5.921, 0min2sec 
Epoch 0 (batch = 51): Loss: 24.178 L: 5.866, 0min0sec 
Epoch 0 (batch = 52): Loss: 23.833 L: 5.812, 0min0sec 
Epoch 0 (batch = 53): Loss: 23.464 L: 5.756, 0min0sec 
Epoch 0 (batch = 54): Loss: 23.135 L: 5.705, 0min0sec 
Epoch 0 (batch = 55): Loss: 23.416 L: 5.665, 0min2sec 
Epoch 0 (batch = 56): Loss: 25.818 L: 5.660, 0min2sec 
Epoch 0 (batch = 57): Loss: 29.202 L: 5.671, 0min2sec 
Epoch 0 (batch = 58): Loss: 33.158 L: 5.693, 0min2sec 
Epoch 0 (batch = 59): Loss: 37.319 L: 5.709, 0min2sec 
Epoch 0 (batch = 60): Loss: 40.754 L: 5.721, 0min2sec 
Epoch 0 (batch = 61): Loss: 42.221 L: 5.704, 0min2sec 
Epoch 0 (batch = 62): Loss: 42.025 L: 5.668, 0min2sec 
Epoch 0 (batch = 63): Loss: 41.457 L: 5.630, 0min0sec 
Epoch 0 (batch = 64): Loss: 40.905 L: 5.585, 0min0sec 
Epoch 0 (batch = 65): Loss: 40.906 L: 5.550, 0min2sec 
Epoch 0 (batch = 66): Loss: 40.391 L: 5.511, 0min0sec 
Epoch 0 (batch = 67): Loss: 39.849 L: 5.472, 0min0sec 
Epoch 0 (batch = 68): Loss: 39.340 L: 5.438, 0min0sec 
Epoch 0 (batch = 69): Loss: 38.855 L: 5.403, 0min0sec 
Epoch 0 (batch = 70): Loss: 38.381 L: 5.365, 0min0sec 
Epoch 0 (batch = 71): Loss: 38.424 L: 5.336, 0min2sec 
Epoch 0 (batch = 72): Loss: 37.945 L: 5.301, 0min0sec 
Epoch 0 (batch = 73): Loss: 39.357 L: 5.295, 0min2sec 
Epoch 0 (batch = 74): Loss: 40.347 L: 5.286, 0min2sec 
Epoch 0 (batch = 75): Loss: 41.634 L: 5.277, 0min2sec 
Epoch 0 (batch = 76): Loss: 42.503 L: 5.270, 0min2sec 
Epoch 0 (batch = 77): Loss: 42.922 L: 5.250, 0min2sec 
Epoch 0 (batch = 78): Loss: 44.479 L: 5.252, 0min2sec 
Epoch 0 (batch = 79): Loss: 46.154 L: 5.257, 0min2sec 
Evaluating candidate model on baseline dataset (callback epoch = 0) 
Epoch 0 candidate mean 6.103600025177002, baseline mean 21.033899307250977 
Update baseline
Baseline model copied 
_update_baseline : Evaluating baseline model on baseline dataset (epoch = 0) 
bl_vals = [2. 2. 2. ... 1. 2. 3.] ,means = 5.170400142669678 
Epoch 1 (batch = 0): Loss: 172.443 L: 4.891, 1min39sec 
Epoch 1 (batch = 1): Loss: 161.351 L: 4.883, 0min2sec 
Epoch 1 (batch = 2): Loss: 123.473 L: 4.417, 0min2sec 
Epoch 1 (batch = 3): Loss: 111.094 L: 4.254, 0min2sec 
Epoch 1 (batch = 4): Loss: 97.604 L: 4.119, 0min2sec 
Epoch 1 (batch = 5): Loss: 87.805 L: 4.005, 0min2sec 
Epoch 1 (batch = 6): Loss: 76.182 L: 3.826, 0min0sec 
Epoch 1 (batch = 7): Loss: 80.115 L: 3.910, 0min2sec 
Epoch 1 (batch = 8): Loss: 71.769 L: 3.799, 0min0sec 
Epoch 1 (batch = 9): Loss: 67.691 L: 3.737, 0min2sec 
Epoch 1 (batch = 10): Loss: 65.170 L: 3.707, 0min2sec 
Epoch 1 (batch = 11): Loss: 60.052 L: 3.656, 0min0sec 
Epoch 1 (batch = 12): Loss: 55.845 L: 3.597, 0min0sec 
Epoch 1 (batch = 13): Loss: 59.484 L: 3.650, 0min2sec 
Epoch 1 (batch = 14): Loss: 58.314 L: 3.625, 0min2sec 
Epoch 1 (batch = 15): Loss: 54.950 L: 3.589, 0min0sec 
Epoch 1 (batch = 16): Loss: 54.193 L: 3.586, 0min2sec 
Epoch 1 (batch = 17): Loss: 51.494 L: 3.573, 0min0sec 
Epoch 1 (batch = 18): Loss: 49.143 L: 3.532, 0min0sec 
Epoch 1 (batch = 19): Loss: 47.000 L: 3.503, 0min0sec 
Epoch 1 (batch = 20): Loss: 45.230 L: 3.515, 0min0sec 
Epoch 1 (batch = 21): Loss: 43.890 L: 3.536, 0min0sec 
Epoch 1 (batch = 22): Loss: 43.893 L: 3.545, 0min2sec 
Epoch 1 (batch = 23): Loss: 44.665 L: 3.570, 0min2sec 
Epoch 1 (batch = 24): Loss: 44.612 L: 3.558, 0min2sec 
Epoch 1 (batch = 25): Loss: 49.188 L: 3.625, 0min2sec 
Epoch 1 (batch = 26): Loss: 51.835 L: 3.682, 0min2sec 
Epoch 1 (batch = 27): Loss: 53.682 L: 3.745, 0min2sec 
Epoch 1 (batch = 28): Loss: 52.054 L: 3.723, 0min0sec 
Epoch 1 (batch = 29): Loss: 50.541 L: 3.706, 0min0sec 
Epoch 1 (batch = 30): Loss: 49.089 L: 3.679, 0min0sec 
Epoch 1 (batch = 31): Loss: 47.807 L: 3.674, 0min0sec 
Epoch 1 (batch = 32): Loss: 46.583 L: 3.659, 0min0sec 
Epoch 1 (batch = 33): Loss: 45.361 L: 3.647, 0min0sec 
Epoch 1 (batch = 34): Loss: 44.282 L: 3.641, 0min0sec 
Epoch 1 (batch = 35): Loss: 43.223 L: 3.635, 0min0sec 
Epoch 1 (batch = 36): Loss: 42.218 L: 3.619, 0min0sec 
Epoch 1 (batch = 37): Loss: 41.417 L: 3.628, 0min0sec 
Epoch 1 (batch = 38): Loss: 40.614 L: 3.614, 0min0sec 
Epoch 1 (batch = 39): Loss: 39.779 L: 3.610, 0min0sec 
Epoch 1 (batch = 40): Loss: 39.007 L: 3.596, 0min0sec 
Epoch 1 (batch = 41): Loss: 38.984 L: 3.595, 0min2sec 
Epoch 1 (batch = 42): Loss: 39.022 L: 3.588, 0min2sec 
Epoch 1 (batch = 43): Loss: 40.581 L: 3.604, 0min2sec 
Epoch 1 (batch = 44): Loss: 39.792 L: 3.587, 0min0sec 
Epoch 1 (batch = 45): Loss: 39.726 L: 3.576, 0min2sec 
Epoch 1 (batch = 46): Loss: 41.159 L: 3.585, 0min2sec 
Epoch 1 (batch = 47): Loss: 42.464 L: 3.601, 0min2sec 
Epoch 1 (batch = 48): Loss: 43.127 L: 3.600, 0min2sec 
Epoch 1 (batch = 49): Loss: 42.357 L: 3.587, 0min0sec 
Epoch 1 (batch = 50): Loss: 42.341 L: 3.577, 0min2sec 
Epoch 1 (batch = 51): Loss: 41.595 L: 3.562, 0min0sec 
Epoch 1 (batch = 52): Loss: 42.661 L: 3.577, 0min2sec 
Epoch 1 (batch = 53): Loss: 43.967 L: 3.578, 0min2sec 
Epoch 1 (batch = 54): Loss: 45.767 L: 3.591, 0min2sec 
Epoch 1 (batch = 55): Loss: 46.831 L: 3.600, 0min2sec 
Epoch 1 (batch = 56): Loss: 46.087 L: 3.582, 0min0sec 
Epoch 1 (batch = 57): Loss: 47.186 L: 3.588, 0min2sec 
Epoch 1 (batch = 58): Loss: 47.026 L: 3.587, 0min2sec 
Epoch 1 (batch = 59): Loss: 46.306 L: 3.572, 0min0sec 
Epoch 1 (batch = 60): Loss: 46.185 L: 3.563, 0min2sec 
Epoch 1 (batch = 61): Loss: 45.525 L: 3.548, 0min0sec 
Epoch 1 (batch = 62): Loss: 44.875 L: 3.537, 0min0sec 
Epoch 1 (batch = 63): Loss: 44.806 L: 3.532, 0min2sec 
Epoch 1 (batch = 64): Loss: 44.175 L: 3.519, 0min0sec 
Epoch 1 (batch = 65): Loss: 43.564 L: 3.505, 0min0sec 
Epoch 1 (batch = 66): Loss: 42.973 L: 3.492, 0min0sec 
Epoch 1 (batch = 67): Loss: 42.426 L: 3.483, 0min0sec 
Epoch 1 (batch = 68): Loss: 42.401 L: 3.477, 0min2sec 
Epoch 1 (batch = 69): Loss: 42.394 L: 3.472, 0min2sec 
Epoch 1 (batch = 70): Loss: 41.886 L: 3.468, 0min0sec 
Epoch 1 (batch = 71): Loss: 41.373 L: 3.463, 0min0sec 
Epoch 1 (batch = 72): Loss: 40.883 L: 3.455, 0min0sec 
Epoch 1 (batch = 73): Loss: 40.424 L: 3.450, 0min0sec 
Epoch 1 (batch = 74): Loss: 39.947 L: 3.442, 0min0sec 
Epoch 1 (batch = 75): Loss: 39.518 L: 3.434, 0min0sec 
Epoch 1 (batch = 76): Loss: 39.069 L: 3.430, 0min0sec 
Epoch 1 (batch = 77): Loss: 38.632 L: 3.418, 0min0sec 
Epoch 1 (batch = 78): Loss: 38.675 L: 3.415, 0min2sec 
Epoch 1 (batch = 79): Loss: 39.143 L: 3.419, 0min2sec 
Evaluating candidate model on baseline dataset (callback epoch = 1) 
Epoch 1 candidate mean 9.966400146484375, baseline mean 5.170400142669678 
Epoch 2 (batch = 0): Loss: 7.386 L: 3.031, 0min55sec 
Epoch 2 (batch = 1): Loss: 27.508 L: 3.312, 0min2sec 
Epoch 2 (batch = 2): Loss: 43.241 L: 3.609, 0min2sec 
Epoch 2 (batch = 3): Loss: 101.837 L: 4.449, 0min2sec 
Epoch 2 (batch = 4): Loss: 154.519 L: 5.188, 0min2sec 
Epoch 2 (batch = 5): Loss: 152.700 L: 5.109, 0min2sec 
Epoch 2 (batch = 6): Loss: 190.899 L: 5.763, 0min2sec 
Epoch 2 (batch = 7): Loss: 208.743 L: 6.047, 0min2sec 
Epoch 2 (batch = 8): Loss: 204.980 L: 5.986, 0min2sec 
Epoch 2 (batch = 9): Loss: 213.432 L: 6.117, 0min2sec 
Epoch 2 (batch = 10): Loss: 220.073 L: 6.213, 0min2sec 
Epoch 2 (batch = 11): Loss: 222.703 L: 6.270, 0min2sec 
Epoch 2 (batch = 12): Loss: 225.981 L: 6.352, 0min2sec 
Epoch 2 (batch = 13): Loss: 227.400 L: 6.375, 0min2sec 
Epoch 2 (batch = 14): Loss: 224.845 L: 6.370, 0min2sec 
Epoch 2 (batch = 15): Loss: 216.834 L: 6.227, 0min2sec 
Epoch 2 (batch = 16): Loss: 209.279 L: 6.109, 0min2sec 
Epoch 2 (batch = 17): Loss: 202.103 L: 6.007, 0min2sec 
Epoch 2 (batch = 18): Loss: 193.623 L: 5.915, 0min2sec 
Epoch 2 (batch = 19): Loss: 185.914 L: 5.815, 0min2sec 
Epoch 2 (batch = 20): Loss: 178.672 L: 5.719, 0min1sec 
Epoch 2 (batch = 21): Loss: 172.480 L: 5.635, 0min2sec 
Epoch 2 (batch = 22): Loss: 169.641 L: 5.583, 0min2sec 
Epoch 2 (batch = 23): Loss: 162.876 L: 5.497, 0min0sec 
Epoch 2 (batch = 24): Loss: 157.746 L: 5.426, 0min2sec 
Epoch 2 (batch = 25): Loss: 153.303 L: 5.356, 0min2sec 
Epoch 2 (batch = 26): Loss: 147.815 L: 5.269, 0min0sec 
Epoch 2 (batch = 27): Loss: 142.682 L: 5.184, 0min0sec 
Epoch 2 (batch = 28): Loss: 139.153 L: 5.127, 0min2sec 
Epoch 2 (batch = 29): Loss: 134.689 L: 5.071, 0min0sec 
Epoch 2 (batch = 30): Loss: 130.494 L: 5.005, 0min0sec 
Epoch 2 (batch = 31): Loss: 127.630 L: 4.957, 0min2sec 
Epoch 2 (batch = 32): Loss: 123.975 L: 4.905, 0min0sec 
Epoch 2 (batch = 33): Loss: 120.464 L: 4.852, 0min0sec 
Epoch 2 (batch = 34): Loss: 117.149 L: 4.793, 0min0sec 
Epoch 2 (batch = 35): Loss: 114.012 L: 4.735, 0min0sec 
Epoch 2 (batch = 36): Loss: 111.042 L: 4.679, 0min0sec 
Epoch 2 (batch = 37): Loss: 108.233 L: 4.638, 0min0sec 
Epoch 2 (batch = 38): Loss: 105.559 L: 4.591, 0min0sec 
Epoch 2 (batch = 39): Loss: 103.033 L: 4.548, 0min0sec 
Epoch 2 (batch = 40): Loss: 100.643 L: 4.514, 0min0sec 
Epoch 2 (batch = 41): Loss: 99.205 L: 4.489, 0min2sec 
Epoch 2 (batch = 42): Loss: 97.840 L: 4.456, 0min2sec 
Epoch 2 (batch = 43): Loss: 95.705 L: 4.425, 0min0sec 
Epoch 2 (batch = 44): Loss: 93.675 L: 4.388, 0min0sec 
Epoch 2 (batch = 45): Loss: 91.716 L: 4.354, 0min0sec 
Epoch 2 (batch = 46): Loss: 89.864 L: 4.322, 0min0sec 
Epoch 2 (batch = 47): Loss: 88.075 L: 4.289, 0min0sec 
Epoch 2 (batch = 48): Loss: 86.399 L: 4.261, 0min0sec 
Epoch 2 (batch = 49): Loss: 84.758 L: 4.233, 0min0sec 
Epoch 2 (batch = 50): Loss: 83.195 L: 4.199, 0min0sec 
Epoch 2 (batch = 51): Loss: 81.715 L: 4.180, 0min0sec 
Epoch 2 (batch = 52): Loss: 80.250 L: 4.157, 0min0sec 
Epoch 2 (batch = 53): Loss: 78.905 L: 4.133, 0min0sec 
Epoch 2 (batch = 54): Loss: 78.358 L: 4.122, 0min2sec 
Epoch 2 (batch = 55): Loss: 77.086 L: 4.096, 0min0sec 
Epoch 2 (batch = 56): Loss: 76.484 L: 4.089, 0min2sec 
Epoch 2 (batch = 57): Loss: 75.242 L: 4.069, 0min0sec 
Epoch 2 (batch = 58): Loss: 74.069 L: 4.053, 0min0sec 
Epoch 2 (batch = 59): Loss: 74.145 L: 4.051, 0min2sec 
Epoch 2 (batch = 60): Loss: 76.502 L: 4.080, 0min2sec 
Epoch 2 (batch = 61): Loss: 78.209 L: 4.102, 0min3sec 
Epoch 2 (batch = 62): Loss: 81.369 L: 4.147, 0min2sec 
Epoch 2 (batch = 63): Loss: 85.209 L: 4.206, 0min2sec 
Epoch 2 (batch = 64): Loss: 89.492 L: 4.268, 0min2sec 
Epoch 2 (batch = 65): Loss: 91.568 L: 4.294, 0min2sec 
Epoch 2 (batch = 66): Loss: 90.937 L: 4.286, 0min2sec 
Epoch 2 (batch = 67): Loss: 91.138 L: 4.285, 0min2sec 
Epoch 2 (batch = 68): Loss: 90.954 L: 4.274, 0min2sec 
Epoch 2 (batch = 69): Loss: 89.730 L: 4.256, 0min0sec 
Epoch 2 (batch = 70): Loss: 89.059 L: 4.247, 0min2sec 
Epoch 2 (batch = 71): Loss: 88.912 L: 4.247, 0min2sec 
Epoch 2 (batch = 72): Loss: 89.218 L: 4.246, 0min2sec 
Epoch 2 (batch = 73): Loss: 89.007 L: 4.242, 0min2sec 
Epoch 2 (batch = 74): Loss: 88.413 L: 4.236, 0min2sec 
Epoch 2 (batch = 75): Loss: 87.798 L: 4.223, 0min2sec 
Epoch 2 (batch = 76): Loss: 87.192 L: 4.213, 0min2sec 
Epoch 2 (batch = 77): Loss: 86.122 L: 4.196, 0min0sec 
Epoch 2 (batch = 78): Loss: 85.072 L: 4.178, 0min0sec 
Epoch 2 (batch = 79): Loss: 84.073 L: 4.158, 0min0sec 
Evaluating candidate model on baseline dataset (callback epoch = 2) 
Epoch 2 candidate mean 3.4839999675750732, baseline mean 5.170400142669678 
Update baseline
Baseline model copied 
_update_baseline : Evaluating baseline model on baseline dataset (epoch = 2) 
bl_vals = [2. 1. 3. ... 2. 1. 4.] ,means = 3.078200101852417 
Epoch 3 (batch = 0): Loss: 5.466 L: 3.156, 1min40sec 
Epoch 3 (batch = 1): Loss: 20.929 L: 3.141, 0min3sec 
Epoch 3 (batch = 2): Loss: 16.157 L: 3.104, 0min0sec 
Epoch 3 (batch = 3): Loss: 13.417 L: 3.070, 0min0sec 
Epoch 3 (batch = 4): Loss: 11.502 L: 3.072, 0min0sec 
Epoch 3 (batch = 5): Loss: 15.999 L: 3.138, 0min3sec 
Epoch 3 (batch = 6): Loss: 14.528 L: 3.145, 0min0sec 
Epoch 3 (batch = 7): Loss: 19.201 L: 3.246, 0min2sec 
Epoch 3 (batch = 8): Loss: 17.472 L: 3.201, 0min0sec 
Epoch 3 (batch = 9): Loss: 27.381 L: 3.358, 0min2sec 
Epoch 3 (batch = 10): Loss: 25.538 L: 3.330, 0min0sec 
Epoch 3 (batch = 11): Loss: 23.725 L: 3.307, 0min0sec 
Epoch 3 (batch = 12): Loss: 22.266 L: 3.260, 0min0sec 
Epoch 3 (batch = 13): Loss: 21.027 L: 3.230, 0min0sec 
Epoch 3 (batch = 14): Loss: 19.930 L: 3.205, 0min0sec 
Epoch 3 (batch = 15): Loss: 18.896 L: 3.192, 0min0sec 
Epoch 3 (batch = 16): Loss: 18.117 L: 3.175, 0min0sec 
Epoch 3 (batch = 17): Loss: 17.391 L: 3.153, 0min0sec 
Epoch 3 (batch = 18): Loss: 16.669 L: 3.126, 0min0sec 
Epoch 3 (batch = 19): Loss: 16.194 L: 3.114, 0min0sec 
Epoch 3 (batch = 20): Loss: 15.694 L: 3.111, 0min0sec 
Epoch 3 (batch = 21): Loss: 15.284 L: 3.099, 0min0sec 
Epoch 3 (batch = 22): Loss: 14.844 L: 3.099, 0min0sec 
Epoch 3 (batch = 23): Loss: 14.592 L: 3.094, 0min0sec 
Epoch 3 (batch = 24): Loss: 14.231 L: 3.081, 0min0sec 
Epoch 3 (batch = 25): Loss: 13.870 L: 3.078, 0min0sec 
Epoch 3 (batch = 26): Loss: 13.547 L: 3.079, 0min0sec 
Epoch 3 (batch = 27): Loss: 13.255 L: 3.081, 0min0sec 
Epoch 3 (batch = 28): Loss: 13.000 L: 3.067, 0min0sec 
Epoch 3 (batch = 29): Loss: 12.774 L: 3.056, 0min0sec 
Epoch 3 (batch = 30): Loss: 12.491 L: 3.046, 0min0sec 
Epoch 3 (batch = 31): Loss: 12.254 L: 3.030, 0min0sec 
Epoch 3 (batch = 32): Loss: 11.997 L: 3.015, 0min0sec 
Epoch 3 (batch = 33): Loss: 11.764 L: 3.007, 0min0sec 
Epoch 3 (batch = 34): Loss: 11.608 L: 3.008, 0min0sec 
Epoch 3 (batch = 35): Loss: 11.412 L: 3.000, 0min0sec 
Epoch 3 (batch = 36): Loss: 11.252 L: 2.998, 0min0sec 
Epoch 3 (batch = 37): Loss: 12.029 L: 2.999, 0min2sec 
Epoch 3 (batch = 38): Loss: 11.843 L: 2.991, 0min0sec 
Epoch 3 (batch = 39): Loss: 12.549 L: 3.005, 0min2sec 
Epoch 3 (batch = 40): Loss: 13.303 L: 3.007, 0min2sec 
Epoch 3 (batch = 41): Loss: 13.963 L: 3.016, 0min2sec 
Epoch 3 (batch = 42): Loss: 14.581 L: 3.012, 0min2sec 
Epoch 3 (batch = 43): Loss: 14.368 L: 3.007, 0min0sec 
Epoch 3 (batch = 44): Loss: 15.730 L: 3.024, 0min2sec 
Epoch 3 (batch = 45): Loss: 16.293 L: 3.022, 0min2sec 
Epoch 3 (batch = 46): Loss: 17.939 L: 3.042, 0min2sec 
Epoch 3 (batch = 47): Loss: 17.692 L: 3.041, 0min0sec 
Epoch 3 (batch = 48): Loss: 19.592 L: 3.061, 0min2sec 
Epoch 3 (batch = 49): Loss: 21.267 L: 3.079, 0min2sec 
Epoch 3 (batch = 50): Loss: 21.583 L: 3.085, 0min2sec 
Epoch 3 (batch = 51): Loss: 21.253 L: 3.078, 0min0sec 
Epoch 3 (batch = 52): Loss: 20.942 L: 3.074, 0min0sec 
Epoch 3 (batch = 53): Loss: 23.250 L: 3.100, 0min2sec 
Epoch 3 (batch = 54): Loss: 23.581 L: 3.107, 0min2sec 
Epoch 3 (batch = 55): Loss: 24.529 L: 3.117, 0min2sec 
Epoch 3 (batch = 56): Loss: 24.195 L: 3.117, 0min0sec 
Epoch 3 (batch = 57): Loss: 23.836 L: 3.104, 0min0sec 
Epoch 3 (batch = 58): Loss: 24.127 L: 3.105, 0min2sec 
Epoch 3 (batch = 59): Loss: 24.988 L: 3.118, 0min2sec 
Epoch 3 (batch = 60): Loss: 25.251 L: 3.120, 0min2sec 
Epoch 3 (batch = 61): Loss: 26.054 L: 3.129, 0min2sec 
Epoch 3 (batch = 62): Loss: 25.720 L: 3.126, 0min0sec 
Epoch 3 (batch = 63): Loss: 26.374 L: 3.132, 0min2sec 
Epoch 3 (batch = 64): Loss: 26.045 L: 3.130, 0min0sec 
Epoch 3 (batch = 65): Loss: 25.699 L: 3.125, 0min0sec 
Epoch 3 (batch = 66): Loss: 25.915 L: 3.125, 0min2sec 
Epoch 3 (batch = 67): Loss: 25.598 L: 3.119, 0min0sec 
Epoch 3 (batch = 68): Loss: 25.288 L: 3.112, 0min0sec 
Epoch 3 (batch = 69): Loss: 25.013 L: 3.106, 0min0sec 
Epoch 3 (batch = 70): Loss: 24.740 L: 3.101, 0min0sec 
Epoch 3 (batch = 71): Loss: 24.470 L: 3.097, 0min0sec 
Epoch 3 (batch = 72): Loss: 24.218 L: 3.093, 0min0sec 
Epoch 3 (batch = 73): Loss: 23.972 L: 3.088, 0min0sec 
Epoch 3 (batch = 74): Loss: 23.718 L: 3.084, 0min0sec 
Epoch 3 (batch = 75): Loss: 23.466 L: 3.080, 0min0sec 
Epoch 3 (batch = 76): Loss: 23.230 L: 3.074, 0min0sec 
Epoch 3 (batch = 77): Loss: 22.992 L: 3.072, 0min0sec 
Epoch 3 (batch = 78): Loss: 22.765 L: 3.070, 0min0sec 
Epoch 3 (batch = 79): Loss: 22.554 L: 3.073, 0min0sec 
Evaluating candidate model on baseline dataset (callback epoch = 3) 
Epoch 3 candidate mean 3.5934998989105225, baseline mean 3.078200101852417 
Epoch 4 (batch = 0): Loss: 5.996 L: 2.734, 1min1sec 
Epoch 4 (batch = 1): Loss: 24.245 L: 2.914, 0min2sec 
Epoch 4 (batch = 2): Loss: 42.068 L: 3.260, 0min2sec 
Epoch 4 (batch = 3): Loss: 75.960 L: 3.664, 0min2sec 
Epoch 4 (batch = 4): Loss: 69.657 L: 3.556, 0min2sec 
Epoch 4 (batch = 5): Loss: 65.072 L: 3.555, 0min2sec 
Epoch 4 (batch = 6): Loss: 66.726 L: 3.574, 0min2sec 
Epoch 4 (batch = 7): Loss: 63.636 L: 3.537, 0min2sec 
Epoch 4 (batch = 8): Loss: 57.190 L: 3.481, 0min0sec 
Epoch 4 (batch = 9): Loss: 51.794 L: 3.413, 0min0sec 
Epoch 4 (batch = 10): Loss: 47.575 L: 3.352, 0min0sec 
Epoch 4 (batch = 11): Loss: 44.060 L: 3.310, 0min0sec 
Epoch 4 (batch = 12): Loss: 41.194 L: 3.273, 0min0sec 
Epoch 4 (batch = 13): Loss: 38.565 L: 3.229, 0min0sec 
Epoch 4 (batch = 14): Loss: 36.296 L: 3.209, 0min0sec 
Epoch 4 (batch = 15): Loss: 34.363 L: 3.208, 0min0sec 
Epoch 4 (batch = 16): Loss: 32.654 L: 3.185, 0min0sec 
Epoch 4 (batch = 17): Loss: 31.186 L: 3.174, 0min0sec 
Epoch 4 (batch = 18): Loss: 29.891 L: 3.147, 0min0sec 
Epoch 4 (batch = 19): Loss: 28.662 L: 3.135, 0min0sec 
Epoch 4 (batch = 20): Loss: 27.542 L: 3.126, 0min0sec 
Epoch 4 (batch = 21): Loss: 26.469 L: 3.122, 0min0sec 
Epoch 4 (batch = 22): Loss: 25.496 L: 3.126, 0min0sec 
Epoch 4 (batch = 23): Loss: 24.660 L: 3.102, 0min0sec 
Epoch 4 (batch = 24): Loss: 23.806 L: 3.086, 0min0sec 
Epoch 4 (batch = 25): Loss: 23.082 L: 3.067, 0min0sec 
Epoch 4 (batch = 26): Loss: 22.398 L: 3.050, 0min0sec 
Epoch 4 (batch = 27): Loss: 21.756 L: 3.051, 0min0sec 
Epoch 4 (batch = 28): Loss: 21.223 L: 3.045, 0min0sec 
Epoch 4 (batch = 29): Loss: 20.925 L: 3.052, 0min1sec 
Epoch 4 (batch = 30): Loss: 24.252 L: 3.103, 0min2sec 
