240118_23_51
 start training 
Baseline model copied 
_update_baseline : Evaluating baseline model on baseline dataset (epoch = 0) 
bl_vals = [ 3. 45. 45. ... 45. 45. 45.] ,means = 41.98929977416992 
Epoch 0 (batch = 38): Loss: -264.441 L: 23.152, 0min1sec 
Epoch 0 (batch = 39): Loss: -265.505 L: 23.072, 0min1sec 
Epoch 0 (batch = 40): Loss: -263.991 L: 22.912, 0min1sec 
Epoch 0 (batch = 41): Loss: -263.911 L: 22.802, 0min1sec 
Epoch 0 (batch = 42): Loss: -262.126 L: 22.631, 0min1sec 
Epoch 0 (batch = 43): Loss: -259.568 L: 22.465, 0min1sec 
Epoch 0 (batch = 44): Loss: -255.286 L: 22.240, 0min1sec 
Epoch 0 (batch = 45): Loss: -254.614 L: 22.104, 0min1sec 
Epoch 0 (batch = 46): Loss: -252.044 L: 21.970, 0min1sec 
Epoch 0 (batch = 47): Loss: -250.475 L: 21.841, 0min1sec 
Epoch 0 (batch = 48): Loss: -248.017 L: 21.673, 0min1sec 
Epoch 0 (batch = 49): Loss: -246.117 L: 21.524, 0min1sec 
Evaluating candidate model on baseline dataset (callback epoch = 0) 
Epoch 0 candidate mean 22.000499725341797, baseline mean 41.98929977416992 
Update baseline
Baseline model copied 
_update_baseline : Evaluating baseline model on baseline dataset (epoch = 0) 
bl_vals = [45. 10. 45. ...  9.  3. 45.] ,means = 18.029300689697266 
Epoch 1 (batch = 0): Loss: -92.465 L: 13.172, 0min7sec 
Epoch 1 (batch = 1): Loss: -106.734 L: 14.570, 0min1sec 
Epoch 1 (batch = 2): Loss: -150.399 L: 15.302, 0min1sec 
Epoch 1 (batch = 3): Loss: -171.988 L: 15.777, 0min1sec 
Epoch 1 (batch = 4): Loss: -182.923 L: 15.803, 0min1sec 
Epoch 1 (batch = 5): Loss: -163.056 L: 15.482, 0min1sec 
Epoch 1 (batch = 6): Loss: -168.556 L: 15.652, 0min1sec 
Epoch 1 (batch = 7): Loss: -162.302 L: 15.463, 0min1sec 
Epoch 1 (batch = 8): Loss: -160.669 L: 15.526, 0min1sec 
Epoch 1 (batch = 9): Loss: -157.779 L: 15.442, 0min1sec 
Epoch 1 (batch = 10): Loss: -150.439 L: 15.222, 0min1sec 
Epoch 1 (batch = 11): Loss: -141.423 L: 15.086, 0min1sec 
Epoch 1 (batch = 12): Loss: -145.543 L: 15.091, 0min1sec 
Epoch 1 (batch = 13): Loss: -145.241 L: 15.083, 0min1sec 
Epoch 1 (batch = 14): Loss: -145.706 L: 15.030, 0min1sec 
Epoch 1 (batch = 15): Loss: -140.447 L: 14.881, 0min1sec 
Epoch 1 (batch = 16): Loss: -139.074 L: 14.747, 0min1sec 
Epoch 1 (batch = 17): Loss: -139.243 L: 14.747, 0min1sec 
Epoch 1 (batch = 18): Loss: -134.162 L: 14.566, 0min1sec 
Epoch 1 (batch = 19): Loss: -132.644 L: 14.432, 0min1sec 
Epoch 1 (batch = 20): Loss: -131.126 L: 14.343, 0min1sec 
Epoch 1 (batch = 21): Loss: -129.380 L: 14.303, 0min1sec 
Epoch 1 (batch = 22): Loss: -126.726 L: 14.183, 0min1sec 
Epoch 1 (batch = 23): Loss: -123.674 L: 14.165, 0min1sec 
Epoch 1 (batch = 24): Loss: -123.207 L: 14.149, 0min1sec 
Epoch 1 (batch = 25): Loss: -121.702 L: 14.066, 0min1sec 
Epoch 1 (batch = 26): Loss: -120.009 L: 14.035, 0min1sec 
Epoch 1 (batch = 27): Loss: -119.666 L: 14.020, 0min1sec 
Epoch 1 (batch = 28): Loss: -117.381 L: 13.916, 0min1sec 
Epoch 1 (batch = 29): Loss: -116.479 L: 13.895, 0min1sec 
Epoch 1 (batch = 30): Loss: -115.794 L: 13.847, 0min1sec 
Epoch 1 (batch = 31): Loss: -116.314 L: 13.807, 0min1sec 
Epoch 1 (batch = 32): Loss: -114.709 L: 13.752, 0min1sec 
Epoch 1 (batch = 33): Loss: -113.449 L: 13.690, 0min1sec 
Epoch 1 (batch = 34): Loss: -112.165 L: 13.615, 0min1sec 
Epoch 1 (batch = 35): Loss: -111.183 L: 13.582, 0min1sec 
Epoch 1 (batch = 36): Loss: -109.745 L: 13.519, 0min1sec 
Epoch 1 (batch = 37): Loss: -109.434 L: 13.472, 0min1sec 
Epoch 1 (batch = 38): Loss: -108.645 L: 13.425, 0min1sec 
Epoch 1 (batch = 39): Loss: -108.162 L: 13.401, 0min1sec 
Epoch 1 (batch = 40): Loss: -106.774 L: 13.344, 0min1sec 
Epoch 1 (batch = 41): Loss: -105.206 L: 13.285, 0min1sec 
Epoch 1 (batch = 42): Loss: -104.916 L: 13.239, 0min1sec 
Epoch 1 (batch = 43): Loss: -104.489 L: 13.200, 0min1sec 
Epoch 1 (batch = 44): Loss: -104.000 L: 13.173, 0min1sec 
Epoch 1 (batch = 45): Loss: -103.682 L: 13.157, 0min1sec 
Epoch 1 (batch = 46): Loss: -102.604 L: 13.093, 0min1sec 
Epoch 1 (batch = 47): Loss: -102.126 L: 13.076, 0min1sec 
Epoch 1 (batch = 48): Loss: -101.463 L: 13.038, 0min1sec 
Epoch 1 (batch = 49): Loss: -101.778 L: 13.019, 0min1sec 
Evaluating candidate model on baseline dataset (callback epoch = 1) 
Epoch 1 candidate mean 12.861300468444824, baseline mean 18.029300689697266 
Update baseline
Baseline model copied 
_update_baseline : Evaluating baseline model on baseline dataset (epoch = 1) 
bl_vals = [4. 4. 4. ... 3. 4. 8.] ,means = 10.199600219726562 
Epoch 2 (batch = 0): Loss: -70.538 L: 10.891, 0min6sec 
Epoch 2 (batch = 1): Loss: -62.913 L: 11.453, 0min1sec 
Epoch 2 (batch = 2): Loss: -56.152 L: 11.177, 0min1sec 
Epoch 2 (batch = 3): Loss: -61.658 L: 11.242, 0min1sec 
Epoch 2 (batch = 4): Loss: -64.654 L: 11.397, 0min1sec 
Epoch 2 (batch = 5): Loss: -68.319 L: 11.419, 0min1sec 
Epoch 2 (batch = 6): Loss: -65.825 L: 11.109, 0min1sec 
Epoch 2 (batch = 7): Loss: -61.974 L: 10.900, 0min1sec 
Epoch 2 (batch = 8): Loss: -62.498 L: 10.828, 0min1sec 
Epoch 2 (batch = 9): Loss: -52.421 L: 10.723, 0min1sec 
Epoch 2 (batch = 10): Loss: -50.319 L: 10.615, 0min1sec 
Epoch 2 (batch = 11): Loss: -51.029 L: 10.609, 0min1sec 
Epoch 2 (batch = 12): Loss: -51.180 L: 10.588, 0min1sec 
Epoch 2 (batch = 13): Loss: -52.125 L: 10.616, 0min1sec 
Epoch 2 (batch = 14): Loss: -53.434 L: 10.589, 0min1sec 
Epoch 2 (batch = 15): Loss: -47.533 L: 10.539, 0min1sec 
Epoch 2 (batch = 16): Loss: -46.606 L: 10.483, 0min1sec 
Epoch 2 (batch = 17): Loss: -46.845 L: 10.477, 0min1sec 
Epoch 2 (batch = 18): Loss: -45.250 L: 10.367, 0min0sec 
Epoch 2 (batch = 19): Loss: -45.217 L: 10.378, 0min1sec 
Epoch 2 (batch = 20): Loss: -45.897 L: 10.355, 0min1sec 
Epoch 2 (batch = 21): Loss: -43.648 L: 10.349, 0min1sec 
Epoch 2 (batch = 22): Loss: -44.163 L: 10.397, 0min1sec 
Epoch 2 (batch = 23): Loss: -44.011 L: 10.370, 0min1sec 
Epoch 2 (batch = 24): Loss: -42.975 L: 10.343, 0min1sec 
Epoch 2 (batch = 25): Loss: -43.159 L: 10.342, 0min1sec 
Epoch 2 (batch = 26): Loss: -40.327 L: 10.252, 0min1sec 
Epoch 2 (batch = 27): Loss: -38.788 L: 10.181, 0min1sec 
Epoch 2 (batch = 28): Loss: -38.380 L: 10.155, 0min1sec 
Epoch 2 (batch = 29): Loss: -40.341 L: 10.188, 0min1sec 
Epoch 2 (batch = 30): Loss: -39.021 L: 10.161, 0min1sec 
Epoch 2 (batch = 31): Loss: -39.069 L: 10.135, 0min1sec 
Epoch 2 (batch = 32): Loss: -38.280 L: 10.090, 0min1sec 
Epoch 2 (batch = 33): Loss: -39.068 L: 10.101, 0min1sec 
Epoch 2 (batch = 34): Loss: -38.195 L: 10.086, 0min1sec 
Epoch 2 (batch = 35): Loss: -37.850 L: 10.082, 0min1sec 
Epoch 2 (batch = 36): Loss: -37.801 L: 10.058, 0min1sec 
Epoch 2 (batch = 37): Loss: -37.145 L: 10.036, 0min1sec 
Epoch 2 (batch = 38): Loss: -36.823 L: 10.023, 0min1sec 
Epoch 2 (batch = 39): Loss: -37.058 L: 9.994, 0min1sec 
Epoch 2 (batch = 40): Loss: -35.458 L: 10.003, 0min1sec 
Epoch 2 (batch = 41): Loss: -35.284 L: 9.968, 0min0sec 
Epoch 2 (batch = 42): Loss: -35.014 L: 9.930, 0min1sec 
Epoch 2 (batch = 43): Loss: -34.511 L: 9.899, 0min1sec 
Epoch 2 (batch = 44): Loss: -34.417 L: 9.883, 0min1sec 
Epoch 2 (batch = 45): Loss: -34.139 L: 9.833, 0min0sec 
Epoch 2 (batch = 46): Loss: -34.153 L: 9.826, 0min0sec 
Epoch 2 (batch = 47): Loss: -34.195 L: 9.811, 0min1sec 
Epoch 2 (batch = 48): Loss: -33.080 L: 9.803, 0min1sec 
Epoch 2 (batch = 49): Loss: -32.751 L: 9.771, 0min1sec 
Evaluating candidate model on baseline dataset (callback epoch = 2) 
Epoch 2 candidate mean 14.810199737548828, baseline mean 10.199600219726562 
Epoch 3 (batch = 0): Loss: 23.155 L: 8.000, 0min3sec 
Epoch 3 (batch = 1): Loss: 0.475 L: 8.266, 0min0sec 
Epoch 3 (batch = 2): Loss: -5.868 L: 8.385, 0min1sec 
Epoch 3 (batch = 3): Loss: -4.397 L: 8.531, 0min1sec 
Epoch 3 (batch = 4): Loss: -3.206 L: 8.281, 0min1sec 
Epoch 3 (batch = 5): Loss: -4.933 L: 8.052, 0min0sec 
Epoch 3 (batch = 6): Loss: -6.843 L: 8.047, 0min0sec 
Epoch 3 (batch = 7): Loss: -8.019 L: 8.121, 0min1sec 
Epoch 3 (batch = 8): Loss: -11.877 L: 8.233, 0min1sec 
Epoch 3 (batch = 9): Loss: -13.401 L: 8.202, 0min0sec 
Epoch 3 (batch = 10): Loss: -13.342 L: 8.139, 0min0sec 
Epoch 3 (batch = 11): Loss: -13.349 L: 8.061, 0min0sec 
Epoch 3 (batch = 12): Loss: -13.611 L: 8.106, 0min0sec 
Epoch 3 (batch = 13): Loss: -13.482 L: 8.095, 0min0sec 
Epoch 3 (batch = 14): Loss: -13.703 L: 8.030, 0min0sec 
Epoch 3 (batch = 15): Loss: -13.200 L: 8.001, 0min0sec 
Epoch 3 (batch = 16): Loss: -14.029 L: 7.990, 0min0sec 
Epoch 3 (batch = 17): Loss: -14.414 L: 7.951, 0min0sec 
Epoch 3 (batch = 18): Loss: -14.326 L: 7.901, 0min0sec 
Epoch 3 (batch = 19): Loss: -14.855 L: 7.939, 0min1sec 
Epoch 3 (batch = 20): Loss: -13.995 L: 7.861, 0min0sec 
Epoch 3 (batch = 21): Loss: -13.624 L: 7.799, 0min0sec 
Epoch 3 (batch = 22): Loss: -13.679 L: 7.790, 0min1sec 
Epoch 3 (batch = 23): Loss: -13.055 L: 7.752, 0min1sec 
Epoch 3 (batch = 24): Loss: -11.809 L: 7.726, 0min0sec 
Epoch 3 (batch = 25): Loss: -12.005 L: 7.718, 0min1sec 
Epoch 3 (batch = 26): Loss: -11.852 L: 7.709, 0min0sec 
Epoch 3 (batch = 27): Loss: -11.874 L: 7.717, 0min0sec 
Epoch 3 (batch = 28): Loss: -11.867 L: 7.720, 0min0sec 
Epoch 3 (batch = 29): Loss: -11.900 L: 7.719, 0min0sec 
Epoch 3 (batch = 30): Loss: -11.779 L: 7.706, 0min1sec 
Epoch 3 (batch = 31): Loss: -11.146 L: 7.674, 0min0sec 
Epoch 3 (batch = 32): Loss: -11.027 L: 7.662, 0min0sec 
Epoch 3 (batch = 33): Loss: -10.922 L: 7.646, 0min0sec 
Epoch 3 (batch = 34): Loss: -10.727 L: 7.624, 0min0sec 
Epoch 3 (batch = 35): Loss: -10.612 L: 7.621, 0min0sec 
Epoch 3 (batch = 36): Loss: -10.324 L: 7.603, 0min0sec 
Epoch 3 (batch = 37): Loss: -10.132 L: 7.581, 0min0sec 
Epoch 3 (batch = 38): Loss: -9.966 L: 7.556, 0min0sec 
Epoch 3 (batch = 39): Loss: -9.780 L: 7.532, 0min0sec 
Epoch 3 (batch = 40): Loss: -9.638 L: 7.500, 0min0sec 
Epoch 3 (batch = 41): Loss: -9.555 L: 7.471, 0min0sec 
Epoch 3 (batch = 42): Loss: -9.604 L: 7.459, 0min0sec 
Epoch 3 (batch = 43): Loss: -9.310 L: 7.447, 0min1sec 
Epoch 3 (batch = 44): Loss: -9.158 L: 7.413, 0min0sec 
Epoch 3 (batch = 45): Loss: -9.118 L: 7.397, 0min0sec 
Epoch 3 (batch = 46): Loss: -8.965 L: 7.368, 0min0sec 
Epoch 3 (batch = 47): Loss: -8.929 L: 7.351, 0min0sec 
Epoch 3 (batch = 48): Loss: -8.973 L: 7.350, 0min1sec 
Epoch 3 (batch = 49): Loss: -9.051 L: 7.354, 0min1sec 
Evaluating candidate model on baseline dataset (callback epoch = 3) 
Epoch 3 candidate mean 8.11460018157959, baseline mean 10.199600219726562 
Update baseline
Baseline model copied 
_update_baseline : Evaluating baseline model on baseline dataset (epoch = 3) 
bl_vals = [8. 7. 3. ... 8. 7. 6.] ,means = 8.108400344848633 
Epoch 4 (batch = 0): Loss: -0.292 L: 6.797, 0min6sec 
Epoch 4 (batch = 1): Loss: -3.436 L: 6.773, 0min1sec 
Epoch 4 (batch = 2): Loss: 9.692 L: 6.875, 0min1sec 
Epoch 4 (batch = 3): Loss: 7.362 L: 6.836, 0min0sec 
Epoch 4 (batch = 4): Loss: 5.119 L: 6.794, 0min0sec 
Epoch 4 (batch = 5): Loss: 3.502 L: 6.740, 0min0sec 
Epoch 4 (batch = 6): Loss: 2.209 L: 6.692, 0min0sec 
Epoch 4 (batch = 7): Loss: 1.339 L: 6.689, 0min0sec 
Epoch 4 (batch = 8): Loss: 0.540 L: 6.700, 0min0sec 
Epoch 4 (batch = 9): Loss: -0.309 L: 6.691, 0min0sec 
Epoch 4 (batch = 10): Loss: -0.551 L: 6.643, 0min0sec 
Epoch 4 (batch = 11): Loss: -1.246 L: 6.690, 0min1sec 
Epoch 4 (batch = 12): Loss: -0.977 L: 6.743, 0min1sec 
Epoch 4 (batch = 13): Loss: -0.905 L: 6.714, 0min0sec 
Epoch 4 (batch = 14): Loss: -0.984 L: 6.664, 0min0sec 
Epoch 4 (batch = 15): Loss: -1.157 L: 6.639, 0min0sec 
Epoch 4 (batch = 16): Loss: -1.461 L: 6.633, 0min0sec 
Epoch 4 (batch = 17): Loss: -1.656 L: 6.637, 0min0sec 
Epoch 4 (batch = 18): Loss: -1.788 L: 6.623, 0min0sec 
Epoch 4 (batch = 19): Loss: -1.752 L: 6.580, 0min0sec 
Epoch 4 (batch = 20): Loss: -2.149 L: 6.621, 0min0sec 
Epoch 4 (batch = 21): Loss: -2.214 L: 6.616, 0min0sec 
Epoch 4 (batch = 22): Loss: -2.490 L: 6.612, 0min0sec 
Epoch 4 (batch = 23): Loss: -2.563 L: 6.598, 0min0sec 
Epoch 4 (batch = 24): Loss: -2.715 L: 6.585, 0min0sec 
Epoch 4 (batch = 25): Loss: -2.222 L: 6.573, 0min1sec 
Epoch 4 (batch = 26): Loss: -2.378 L: 6.592, 0min0sec 
Epoch 4 (batch = 27): Loss: -2.333 L: 6.569, 0min0sec 
Epoch 4 (batch = 28): Loss: -2.239 L: 6.574, 0min0sec 
Epoch 4 (batch = 29): Loss: -2.232 L: 6.556, 0min0sec 
Epoch 4 (batch = 30): Loss: -2.096 L: 6.540, 0min0sec 
Epoch 4 (batch = 31): Loss: -2.025 L: 6.542, 0min0sec 
Epoch 4 (batch = 32): Loss: -1.888 L: 6.529, 0min0sec 
Epoch 4 (batch = 33): Loss: -1.880 L: 6.506, 0min0sec 
Epoch 4 (batch = 34): Loss: -1.686 L: 6.487, 0min0sec 
Epoch 4 (batch = 35): Loss: -1.701 L: 6.461, 0min0sec 
Epoch 4 (batch = 36): Loss: -1.635 L: 6.453, 0min0sec 
Epoch 4 (batch = 37): Loss: -1.743 L: 6.449, 0min0sec 
Epoch 4 (batch = 38): Loss: -1.709 L: 6.435, 0min1sec 
Epoch 4 (batch = 39): Loss: -1.562 L: 6.417, 0min0sec 
Epoch 4 (batch = 40): Loss: -1.605 L: 6.407, 0min0sec 
Epoch 4 (batch = 41): Loss: -1.566 L: 6.395, 0min0sec 
Epoch 4 (batch = 42): Loss: -1.539 L: 6.378, 0min0sec 
Epoch 4 (batch = 43): Loss: -1.595 L: 6.390, 0min0sec 
Epoch 4 (batch = 44): Loss: -1.665 L: 6.370, 0min0sec 
Epoch 4 (batch = 45): Loss: -1.651 L: 6.342, 0min0sec 
Epoch 4 (batch = 46): Loss: -1.701 L: 6.333, 0min0sec 
Epoch 4 (batch = 47): Loss: -1.687 L: 6.324, 0min0sec 
Epoch 4 (batch = 48): Loss: -1.689 L: 6.309, 0min0sec 
Epoch 4 (batch = 49): Loss: -1.661 L: 6.310, 0min0sec 
Evaluating candidate model on baseline dataset (callback epoch = 4) 
Epoch 4 candidate mean 6.096499919891357, baseline mean 8.108400344848633 
Update baseline
Baseline model copied 
_update_baseline : Evaluating baseline model on baseline dataset (epoch = 4) 
bl_vals = [6. 6. 5. ... 4. 2. 1.] ,means = 5.59630012512207 
Epoch 5 (batch = 0): Loss: -1.893 L: 5.922, 0min4sec 
Epoch 5 (batch = 1): Loss: -2.073 L: 6.250, 0min0sec 
Epoch 5 (batch = 2): Loss: -1.699 L: 6.104, 0min0sec 
Epoch 5 (batch = 3): Loss: -1.463 L: 5.941, 0min0sec 
Epoch 5 (batch = 4): Loss: -1.273 L: 5.850, 0min0sec 
Epoch 5 (batch = 5): Loss: -1.115 L: 5.820, 0min0sec 
Epoch 5 (batch = 6): Loss: -1.112 L: 5.824, 0min0sec 
Epoch 5 (batch = 7): Loss: -1.274 L: 5.799, 0min0sec 
Epoch 5 (batch = 8): Loss: -1.383 L: 5.818, 0min0sec 
Epoch 5 (batch = 9): Loss: -1.499 L: 5.834, 0min0sec 
Epoch 5 (batch = 10): Loss: -1.475 L: 5.859, 0min0sec 
Epoch 5 (batch = 11): Loss: -1.485 L: 5.846, 0min0sec 
Epoch 5 (batch = 12): Loss: -1.949 L: 5.900, 0min1sec 
Epoch 5 (batch = 13): Loss: -1.712 L: 5.853, 0min0sec 
Epoch 5 (batch = 14): Loss: -1.779 L: 5.917, 0min1sec 
Epoch 5 (batch = 15): Loss: -1.732 L: 5.910, 0min0sec 
Epoch 5 (batch = 16): Loss: -1.737 L: 5.907, 0min0sec 
Epoch 5 (batch = 17): Loss: -1.686 L: 5.882, 0min0sec 
Epoch 5 (batch = 18): Loss: -1.634 L: 5.873, 0min0sec 
Epoch 5 (batch = 19): Loss: -1.596 L: 5.837, 0min0sec 
Epoch 5 (batch = 20): Loss: -1.583 L: 5.843, 0min0sec 
Epoch 5 (batch = 21): Loss: -1.541 L: 5.862, 0min0sec 
Epoch 5 (batch = 22): Loss: -1.522 L: 5.859, 0min0sec 
Epoch 5 (batch = 23): Loss: -1.494 L: 5.857, 0min0sec 
Epoch 5 (batch = 24): Loss: -1.471 L: 5.835, 0min0sec 
Epoch 5 (batch = 25): Loss: -1.436 L: 5.836, 0min0sec 
Epoch 5 (batch = 26): Loss: -1.420 L: 5.825, 0min0sec 
Epoch 5 (batch = 27): Loss: -1.287 L: 5.825, 0min1sec 
Epoch 5 (batch = 28): Loss: -1.097 L: 5.847, 0min1sec 
Epoch 5 (batch = 29): Loss: -0.817 L: 5.846, 0min1sec 
Epoch 5 (batch = 30): Loss: -0.652 L: 5.849, 0min0sec 
Epoch 5 (batch = 31): Loss: -0.719 L: 5.853, 0min0sec 
Epoch 5 (batch = 32): Loss: -0.730 L: 5.852, 0min0sec 
Epoch 5 (batch = 33): Loss: -0.714 L: 5.854, 0min0sec 
Epoch 5 (batch = 34): Loss: -0.647 L: 5.858, 0min0sec 
Epoch 5 (batch = 35): Loss: -0.620 L: 5.855, 0min0sec 
Epoch 5 (batch = 36): Loss: -0.597 L: 5.839, 0min0sec 
Epoch 5 (batch = 37): Loss: -0.603 L: 5.840, 0min0sec 
Epoch 5 (batch = 38): Loss: -0.593 L: 5.827, 0min0sec 
Epoch 5 (batch = 39): Loss: -0.612 L: 5.827, 0min0sec 
Epoch 5 (batch = 40): Loss: -0.618 L: 5.804, 0min0sec 
Epoch 5 (batch = 41): Loss: -0.653 L: 5.805, 0min1sec 
Epoch 5 (batch = 42): Loss: -0.606 L: 5.814, 0min0sec 
Epoch 5 (batch = 43): Loss: -0.635 L: 5.814, 0min0sec 
Epoch 5 (batch = 44): Loss: -0.647 L: 5.811, 0min0sec 
Epoch 5 (batch = 45): Loss: -0.658 L: 5.808, 0min0sec 
Epoch 5 (batch = 46): Loss: -0.688 L: 5.814, 0min0sec 
Epoch 5 (batch = 47): Loss: -0.695 L: 5.810, 0min0sec 
Epoch 5 (batch = 48): Loss: -0.701 L: 5.814, 0min0sec 
Epoch 5 (batch = 49): Loss: -0.698 L: 5.810, 0min0sec 
Evaluating candidate model on baseline dataset (callback epoch = 5) 
Epoch 5 candidate mean 5.83050012588501, baseline mean 5.59630012512207 
Epoch 6 (batch = 0): Loss: -1.079 L: 5.641, 0min2sec 
Epoch 6 (batch = 1): Loss: -0.581 L: 5.477, 0min0sec 
Epoch 6 (batch = 2): Loss: -0.528 L: 5.615, 0min0sec 
Epoch 6 (batch = 3): Loss: -0.642 L: 5.781, 0min0sec 
Epoch 6 (batch = 4): Loss: -0.650 L: 5.747, 0min0sec 
Epoch 6 (batch = 5): Loss: -0.591 L: 5.672, 0min0sec 
Epoch 6 (batch = 6): Loss: -0.491 L: 5.585, 0min0sec 
Epoch 6 (batch = 7): Loss: -0.537 L: 5.566, 0min0sec 
Epoch 6 (batch = 8): Loss: -0.587 L: 5.627, 0min0sec 
Epoch 6 (batch = 9): Loss: -0.641 L: 5.589, 0min0sec 
Epoch 6 (batch = 10): Loss: -0.670 L: 5.538, 0min0sec 
Epoch 6 (batch = 11): Loss: -0.661 L: 5.495, 0min0sec 
Epoch 6 (batch = 12): Loss: -0.663 L: 5.508, 0min0sec 
Epoch 6 (batch = 13): Loss: -0.699 L: 5.532, 0min0sec 
Epoch 6 (batch = 14): Loss: -0.725 L: 5.539, 0min1sec 
Epoch 6 (batch = 15): Loss: -0.670 L: 5.520, 0min0sec 
Epoch 6 (batch = 16): Loss: -0.645 L: 5.513, 0min0sec 
Epoch 6 (batch = 17): Loss: -0.629 L: 5.505, 0min0sec 
Epoch 6 (batch = 18): Loss: -0.637 L: 5.511, 0min0sec 
Epoch 6 (batch = 19): Loss: -0.602 L: 5.502, 0min0sec 
Epoch 6 (batch = 20): Loss: -0.662 L: 5.516, 0min0sec 
Epoch 6 (batch = 21): Loss: -0.657 L: 5.511, 0min0sec 
Epoch 6 (batch = 22): Loss: -0.633 L: 5.518, 0min0sec 
Epoch 6 (batch = 23): Loss: -0.631 L: 5.518, 0min0sec 
Epoch 6 (batch = 24): Loss: -0.688 L: 5.526, 0min0sec 
Epoch 6 (batch = 25): Loss: -0.670 L: 5.543, 0min0sec 
Epoch 6 (batch = 26): Loss: -0.670 L: 5.550, 0min0sec 
Epoch 6 (batch = 27): Loss: -0.673 L: 5.554, 0min0sec 
Epoch 6 (batch = 28): Loss: -0.671 L: 5.546, 0min0sec 
Epoch 6 (batch = 29): Loss: -0.675 L: 5.532, 0min0sec 
Epoch 6 (batch = 30): Loss: -0.649 L: 5.516, 0min0sec 
Epoch 6 (batch = 31): Loss: -0.647 L: 5.517, 0min0sec 
Epoch 6 (batch = 32): Loss: -0.628 L: 5.533, 0min0sec 
Epoch 6 (batch = 33): Loss: -0.599 L: 5.527, 0min0sec 
Epoch 6 (batch = 34): Loss: -0.591 L: 5.526, 0min0sec 
Epoch 6 (batch = 35): Loss: -0.613 L: 5.521, 0min0sec 
Epoch 6 (batch = 36): Loss: -0.604 L: 5.514, 0min0sec 
Epoch 6 (batch = 37): Loss: -0.665 L: 5.535, 0min0sec 
Epoch 6 (batch = 38): Loss: -0.654 L: 5.526, 0min0sec 
Epoch 6 (batch = 39): Loss: -0.652 L: 5.526, 0min0sec 
Epoch 6 (batch = 40): Loss: -0.644 L: 5.518, 0min0sec 
Epoch 6 (batch = 41): Loss: -0.650 L: 5.529, 0min0sec 
Epoch 6 (batch = 42): Loss: -0.662 L: 5.539, 0min1sec 
